lemma,translation,iew_reference,author,category,innovation,pie_stem,branch,language_form_and_translation,notes
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",e-reduplicated athematic present,0,*bʰé-bʰodʰh₂/bʰdʰh₂-,Italic,"[lat. fodiō, -ere ‘graben’{3}","notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725). – {3} Aus deredupliziertem *bʰodʰ- weitergebildet; mit neuem Dehnungsperfekt fōdi."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",e-reduplicated athematic present,0,*bʰé-bʰodʰh₂/bʰdʰh₂-,Slavic,"[aksl. bodǫ, (bosti) ‘stechen’{4}","notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725). – {4} Nach VAILLANT III 151 wird o-stufiges *bada- auch vom apr. Ptz. Prät. em-baddusisi ‘hineingesteckt’ vorausgesetzt."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",full-grade e-present,0,*bʰédʰh₂-e-,Baltic,"lit. bedù, (bèsti) ‘stechen, graben’","notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725)."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",s-aorist,1,–,Slavic,aksl. -basъ ‘stach’{3},"notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725). – {3} Aus deredupliziertem *bʰodʰ- weitergebildet; mit neuem Dehnungsperfekt fōdi."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",perfect,1,–,Tocharian,toch.A pātar ‘pflügten’{5},"notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725). – {5} Mit a-Umlaut < *pæta- < *bʰodʰ-a-, keine anderen Formen belegt."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",iterative,1,–,Baltic,"lit. badaũ, badàti ‘stechen, stoßen’","notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725)."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",root,0,*bʰeg-{1},PIE,PIE *bʰeg-{1} ‘brechen (tr.)’,"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",root aorist,0,*bʰég-/bʰg-,Armenian,arm. ebek ‘brach’{2},"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243. – {2} Vgl. KLINGENSCHMITT 273."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",nasal-infix present,0,*bʰ-né/n̥-g-,Indic,ved. bhanákti ‘bricht (tr.)’,"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",nasal-infix present,0,*bʰ-né/n̥-g-,Armenian,?[arm. bekanem ‘breche’{3},"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243. – {3} Eher Neubildung zum Aor."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",nasal-infix present,0,*bʰ-né/n̥-g-,Baltic,"?[lit. bengiù, (beñgti) ‘beenden’{4}","notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243. – {4} Wenn ← *‘abbrechen’, semantisch ungeklärt. Problematisch auch wegen WINTERs Gesetz (s. Anm. 1 zu *bʰegʷ-), das Akut erwarten ließe; denkbar wäre Übertragung der (in offener Silbe erhaltenen) Vokalkürze aus thematischen Formen."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",full-grade e-present,0,?*bʰég-e-,Celtic,"air. do:aith-biuch ‘schaffe ab’, t-aid-begar ‘wird aufgelöst’{5}","notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243. – {5} Im Ir. teilweise mit bong- vermischt, vgl. MCCONE 43."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",R(z)-i̯e-present,1,–,Indic,ved. Pass. bhajyáte ‘wird zerbrochen’,"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",R(z)-i̯e-present,1,–,Iranian,khot. bajäte ‘(zer)bricht (intr.)’{6},"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243. – {6} Iir. Neubildung zum Nasalpräsens; vgl. EMMERICK 91-2."
*bʰeg-{1},‘brechen (tr.)’,IEW 114-5,"B. S., M. K.",perfect,1,–,Indic,ved. babháñja ‘hat zerbrochen’,"notes: {1} Ved. und balt. ist aus dem Nasalpräsens eine nasalhaltige Wurzel *bʰeng- abstrahiert, vgl. KLINGENSCHMITT 184-5; air. bong- gehört dagegen zu 2.*bʰeu̯g-, s.d. Daneben gleichbedeutend *bʰreg/g̑-, viell. urspr. identisch damit, vgl. die Lit. in EWAia II 243."
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",root,0,*bʰegʷ-,PIE,"PIE *bʰegʷ- ‘davonlaufen, fliehen’",
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",root aorist,0,?*bʰégʷ-/bʰegʷ-,Slavic,"[aksl. -běgъ ‘lief, floh’",
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",acrodynamic root present,0,?*bʰḗgʷ-/bʰégʷ-{1},Greek,[gr. φέβομαι ‘fliehe’{2},"notes: {1} Formal möglich wäre auch *bʰégʷ-/bʰegʷ-; die bsl. Vokallänge ist nämlich durch WINTERs Gesetz erklärbar: im Anschluß an MATASOVIĆ, LP 37 (1995) 57-70 wird hier angenommen, daß WINTER-Dehnung urspr. kurzer Vokale und Diphthonge vor Media nur in (urbsl.) kurzer Silbe vor Vokal unterblieb, in allen anderen Umgebungen aber stattfand, also auch in athematischen Paradigmen vor konsonantisch anlautenden Endungen, von wo aus der Langvokal durch paradigmatischen Ausgleich verallgemeinert werden konnte. Neben dem möglichen Wurzelaorist ist hier aber in jedem Fall ein akrodynamisches Präsens wahrscheinlich. – {2} Mit Durchführung der R(e) aus phonotaktischen Gründen."
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",acrodynamic root present,0,?*bʰḗgʷ-/bʰégʷ-{1},Baltic,"alit. bė́gmi, [lit. bė́gu, (bė́gti) ‘laufen, fliehen’","notes: {1} Formal möglich wäre auch *bʰégʷ-/bʰegʷ-; die bsl. Vokallänge ist nämlich durch WINTERs Gesetz erklärbar: im Anschluß an MATASOVIĆ, LP 37 (1995) 57-70 wird hier angenommen, daß WINTER-Dehnung urspr. kurzer Vokale und Diphthonge vor Media nur in (urbsl.) kurzer Silbe vor Vokal unterblieb, in allen anderen Umgebungen aber stattfand, also auch in athematischen Paradigmen vor konsonantisch anlautenden Endungen, von wo aus der Langvokal durch paradigmatischen Ausgleich verallgemeinert werden konnte. Neben dem möglichen Wurzelaorist ist hier aber in jedem Fall ein akrodynamisches Präsens wahrscheinlich."
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",acrodynamic root present,0,?*bʰḗgʷ-/bʰégʷ-{1},Slavic,"[aruss. (+) běgu, (běči) ‘laufen’{3}","notes: {1} Formal möglich wäre auch *bʰégʷ-/bʰegʷ-; die bsl. Vokallänge ist nämlich durch WINTERs Gesetz erklärbar: im Anschluß an MATASOVIĆ, LP 37 (1995) 57-70 wird hier angenommen, daß WINTER-Dehnung urspr. kurzer Vokale und Diphthonge vor Media nur in (urbsl.) kurzer Silbe vor Vokal unterblieb, in allen anderen Umgebungen aber stattfand, also auch in athematischen Paradigmen vor konsonantisch anlautenden Endungen, von wo aus der Langvokal durch paradigmatischen Ausgleich verallgemeinert werden konnte. Neben dem möglichen Wurzelaorist ist hier aber in jedem Fall ein akrodynamisches Präsens wahrscheinlich. – {3} Vgl. VAILLANT III 382-3; Słownik prasłow. I 226; das them. Präs. ist im Slav. selten undmeist (so schon aksl.) durch die Ableitungen aksl. (+) běžati und běgnǫti verdrängt (s. aber Anm. 4)."
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",éi̯e-causative–iterative,0,*bʰogʷ-éi̯e-,Greek,"gr. φοβέω ‘verscheuche’, φοβέομαι ‘fliehe’",
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",nasal present,1,–,Slavic,"aksl. (+) -běgnǫti ‘laufen, fliehen’",
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",fientive,1,–,Slavic,aksl. běža ‘lief (davon)’,
*bʰegʷ-,"‘davonlaufen, fliehen’",IEW 116,"B. S., M. K.",essive,1,–,Slavic,"aksl. (+) běžǫ, běžati ‘laufen, fliehen’{4}","notes: {4} Könnte das Nebeneinander von urslav. *běgǫ und *běži- auf Umbildung des athem. Präs. beruhen? Vgl. Ptz. gorǫšt- neben Präs. gori- bei gorěti ‘brennen’, s. *gʷʰer-."
?*bʰeh₁-{1},‘wärmen’,IEW 113,B. S.,root,0,?*bʰeh₁-{1},PIE,PIE ?*bʰeh₁-{1} ‘wärmen’,"notes: {1} Nur germ., dazu auch ahd. (+) bad < *baþa- ‘Bad’ < *bʰə́₁-to-, vgl. LLOYD-SPRINGER 423-4; die angebliche Erweiterung *bʰōg- ist zu trennen, s. *bʰeh₃g-."
?*bʰeh₁-{1},‘wärmen’,IEW 113,B. S.,full-grade i̯e-present,0,?*bʰéh₁-i̯e-,Germanic,"hd. (+) bien ‘bähen, durch Umschläge wärmen’{2}","notes: {1} Nur germ., dazu auch ahd. (+) bad < *baþa- ‘Bad’ < *bʰə́₁-to-, vgl. LLOYD-SPRINGER 423-4; die angebliche Erweiterung *bʰōg- ist zu trennen, s. *bʰeh₃g-. – {2} Vgl. LLOYD-SPRINGER 425."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,root,0,*bʰeh₁dʰ-{1},PIE,PIE *bʰeh₁dʰ-{1} ‘bedrängen’,"notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,full-grade e-present,0,*bʰéh₁dʰ-e-,Indic,"ved. bā́dhate ‘drängt, bedrängt’{2}","notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt. – {2} Vgl. GOTŌ 216."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,éi̯e-causative–iterative,0,?*bʰoh₁dʰ-éi̯e-,Indic,"ved. ápa bādhaya AV 12,1,49 ‘dränge weg!’{3}","notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt. – {3} Nach JAMISON 102 Augenblicksbildung."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,reduplicated sé-desiderative,0,?*bʰi-bʰh₁dʰ-sé-,Indic,[ved. (YV) abībhatsata ‘empfand Abscheu’{4},"notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt. – {4} ← *‘von sich drängen wollen’, vgl. GOTŌ 217450; mit rhythmisch gekürztem a ← ā (Wurzelform bādh durchgeführt)."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,perfect,1,–,Indic,ved. babādhā ‘hat bedrängt’,"notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt."
*bʰeh₁dʰ-{1},‘bedrängen’,IEW 114,B. S.,intensive,1,–,Indic,ved. bābadhe ‘drängt (fortwährend)’{5},"notes: {1} Vgl. wohl lit. bėdà ‘Not, Kummer’ = aksl. (+) běda (falls nicht zu *bʰedʰh₂-); ă im vedischen Intensiv und Desiderativ ist sekundär rhythmisch gekürzt. – {5} Daneben Perfekt badbadhā ‘hat immer wieder bedrängt’, vgl. SCHAEFER 156-7; rhythmische Kürzung wie im Desider."
*bʰeh₁g̑ʰ-{1},"‘ärgerlich werden, in Streit geraten’",IEW 115,M. K.,root,0,*bʰeh₁g̑ʰ-{1},PIE,"PIE *bʰeh₁g̑ʰ-{1} ‘ärgerlich werden, in Streit geraten’","notes: {1} Dazu auch air. bág f. ‘Kampf’ < *bʰoh₁g̑ʰ-eh₂- mit denom. bágaid ‘prahlt, droht; kämpft’."
*bʰeh₁g̑ʰ-{1},"‘ärgerlich werden, in Streit geraten’",IEW 115,M. K.,full-grade e-present,0,?*bʰéh₁g̑ʰ-e-,Germanic,"ahd. bāgan ‘streiten, schelten’{2}","notes: {1} Dazu auch air. bág f. ‘Kampf’ < *bʰoh₁g̑ʰ-eh₂- mit denom. bágaid ‘prahlt, droht; kämpft’. – {2} Auch schwach, vgl. SEEBOLD 93-4."
*bʰeh₁g̑ʰ-{1},"‘ärgerlich werden, in Streit geraten’",IEW 115,M. K.,perfect,0,?*bʰe-bʰóh₁g̑ʰ/bʰh₁g̑ʰ-,Baltic,"?[lett. buôžuôs, (buôztiês) ‘die Haare sträuben; sich ärgern’{3}","notes: {1} Dazu auch air. bág f. ‘Kampf’ < *bʰoh₁g̑ʰ-eh₂- mit denom. bágaid ‘prahlt, droht; kämpft’. – {3} Vgl. ENDZELIN, KZ 52 (1924) 118. Herleitung aus Perfekt ist nicht zwingend, auch Umbildung einer anderen Bildung mit R(o) oder sekundärer Ablaut wäre möglich."
1.*bʰeh₂-{1},"‘glänzen, leuchten, scheinen’",IEW 104-5,B. S.,root,0,1.*bʰeh₂-{1},PIE,"PIE 1.*bʰeh₂-{1} ‘glänzen, leuchten, scheinen’","notes: {1} Auch morphologisch homonym mit 2.*bʰeh₂- ‘sprechen, sagen’, wohl urspr. identisch (semantische Entwicklung etwa ‘leuchten’ → *‘hell machen’ → *‘klar machen’ → ‘sagen’), vgl. EWAia II 260 mit Lit."
1.*bʰeh₂-{1},"‘glänzen, leuchten, scheinen’",IEW 104-5,B. S.,amphidynamic root-present,0,*bʰéh₂-/bʰh₂-,Indic,"ved. bhā́ti ‘glänzt, strahlt’","notes: {1} Auch morphologisch homonym mit 2.*bʰeh₂- ‘sprechen, sagen’, wohl urspr. identisch (semantische Entwicklung etwa ‘leuchten’ → *‘hell machen’ → *‘klar machen’ → ‘sagen’), vgl. EWAia II 260 mit Lit."
1.*bʰeh₂-{1},"‘glänzen, leuchten, scheinen’",IEW 104-5,B. S.,amphidynamic root-present,0,*bʰéh₂-/bʰh₂-,Iranian,jav. fra-uuāiti ‘leuchtet hervor’{2},"notes: {1} Auch morphologisch homonym mit 2.*bʰeh₂- ‘sprechen, sagen’, wohl urspr. identisch (semantische Entwicklung etwa ‘leuchten’ → *‘hell machen’ → *‘klar machen’ → ‘sagen’), vgl. EWAia II 260 mit Lit. – {2} Vgl. KELLENS, Verbe 89 mit Anm. 3. Hierher auch vīuuāiti Yt. 8,40, s. FORSSMAN, Koll. Erlangen 103-5."
1.*bʰeh₂-{1},"‘glänzen, leuchten, scheinen’",IEW 104-5,B. S.,amphidynamic root-present,0,*bʰéh₂-/bʰh₂-,Greek,gr. φάντα· λάμποντα Hsch. ‘leuchtend’,"notes: {1} Auch morphologisch homonym mit 2.*bʰeh₂- ‘sprechen, sagen’, wohl urspr. identisch (semantische Entwicklung etwa ‘leuchten’ → *‘hell machen’ → *‘klar machen’ → ‘sagen’), vgl. EWAia II 260 mit Lit."
1.*bʰeh₂-{1},"‘glänzen, leuchten, scheinen’",IEW 104-5,B. S.,amphidynamic root-present,0,*bʰéh₂-/bʰh₂-,Slavic,"[osorb. (+) baju so, (bać) ‘glimmen’{3}","notes: {1} Auch morphologisch homonym mit 2.*bʰeh₂- ‘sprechen, sagen’, wohl urspr. identisch (semantische Entwicklung etwa ‘leuchten’ → *‘hell machen’ → *‘klar machen’ → ‘sagen’), vgl. EWAia II 260 mit Lit. – {3} Nur sorb., vgl. Słownik prasłow. I 194."
