,root,category,branch,language,questionable,reflex,meaning,notes,expanded_notes,original_text
12,*bʰag-{1},s-aorist,Indic,ved.,false,ábhakṣi,habe Anteil bekommen,,,"ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}"
13,*bʰag-{1},s-aorist,Iranian,ava.,false,baxšaiti,soll zuteilen,,,"aav. Konj. baxšaiti ‘soll zuteilen’, 3s Inj. Med. baxštā ‘nimmt Anteil’"
14,*bʰag-{1},s-aorist,Iranian,ava.,false,baxštā,nimmt Anteil,,,"aav. Konj. baxšaiti ‘soll zuteilen’, 3s Inj. Med. baxštā ‘nimmt Anteil’"
15,*bʰedʰh₂-{1},e-reduplicated athematic present,Anatolian,ger.,false,paddai,gräbt,2,"2: Zur Lesung und Lautung s. MELCHERT, AHP 33-4 mit Lit.; dd für *dʰ ist nur aus einer Gruppe *dʰh₂ erklärbar, vgl. JASANOFF, l.c. 87; MELCHERT, AHP 77.",?[heth. paddai ‘gräbt’{2}
16,*bʰedʰh₂-{1},e-reduplicated athematic present,Italic,lat.,false,"fodiō, -ere",graben,3,3: Aus deredupliziertem *bʰodʰ- weitergebildet; mit neuem Dehnungsperfekt fōdi.,"[lat. fodiō, -ere ‘graben’{3}"
17,*bʰedʰh₂-{1},e-reduplicated athematic present,Slavic,aksl.,false,bodǫ,stechen,4,4: Nach VAILLANT III 151 wird o-stufiges *bada- auch vom apr. Ptz. Prät. em-baddusisi ‘hineingesteckt’ vorausgesetzt.,"[aksl. bodǫ, (bosti) ‘stechen’{4}"
18,*bʰedʰh₂-{1},e-reduplicated athematic present,Slavic,aksl.,false,bosti,stechen,4,4: Nach VAILLANT III 151 wird o-stufiges *bada- auch vom apr. Ptz. Prät. em-baddusisi ‘hineingesteckt’ vorausgesetzt.,"[aksl. bodǫ, (bosti) ‘stechen’{4}"
19,*bʰedʰh₂-{1},full-grade e-present,Baltic,lit.,false,bedù,"stechen, graben",,,"lit. bedù, (bèsti) ‘stechen, graben’"
20,*bʰedʰh₂-{1},full-grade e-present,Baltic,lit.,false,bèsti,"stechen, graben",,,"lit. bedù, (bèsti) ‘stechen, graben’"
21,*bʰedʰh₂-{1},s-aorist,Slavic,aksl.,false,-basъ,stach,3,3: Aus deredupliziertem *bʰodʰ- weitergebildet; mit neuem Dehnungsperfekt fōdi.,aksl. -basъ ‘stach’{3}
22,*bʰedʰh₂-{1},perfect,Tocharian,toch.A,false,pātar,pflügten,5,"5: Mit a-Umlaut < *pæta- < *bʰodʰ-a-, keine anderen Formen belegt.",toch.A pātar ‘pflügten’{5}
23,*bʰedʰh₂-{1},iterative,Baltic,lit.,false,badaũ,"stechen, stoßen",,,"lit. badaũ, badàti ‘stechen, stoßen’"
24,*bʰedʰh₂-{1},iterative,Baltic,lit.,false,badàti,"stechen, stoßen",,,"lit. badaũ, badàti ‘stechen, stoßen’"
25,*bʰeg-{1},root aorist,Armenian,arm.,false,ebek,brach,2,2: Vgl. KLINGENSCHMITT 273.,arm. ebek ‘brach’{2}
26,*bʰeg-{1},nasal-infix present,Indic,ved.,false,bhanákti,bricht (tr.),,,ved. bhanákti ‘bricht (tr.)’
27,*bʰeg-{1},nasal-infix present,Armenian,arm.,true,bekanem,breche,3,3: Eher Neubildung zum Aor.,?[arm. bekanem ‘breche’{3}
28,*bʰeg-{1},nasal-infix present,Baltic,lit.,false,bengiù,beenden,4,"4: Wenn ← *‘abbrechen’, semantisch ungeklärt. Problematisch auch wegen WINTERs Gesetz (s. Anm. 1 zu *bʰegʷ-), das Akut erwarten ließe; denkbar wäre Übertragung der (in offener Silbe erhaltenen) Vokalkürze aus thematischen Formen.","?[lit. bengiù, (beñgti) ‘beenden’{4}"
29,*bʰeg-{1},full-grade e-present,Celtic,air.,false,do:aith-biuch,schaffe ab,,,"air. do:aith-biuch ‘schaffe ab’, t-aid-begar ‘wird aufgelöst’{5}"
30,*bʰeg-{1},full-grade e-present,Celtic,air.,false,t-aid-begar,wird aufgelöst,5,"5: Im Ir. teilweise mit bong- vermischt, vgl. MCCONE 43.","air. do:aith-biuch ‘schaffe ab’, t-aid-begar ‘wird aufgelöst’{5}"
31,*bʰeg-{1},R(z)-i̯e-present,Indic,ved.,false,bhajyáte,wird zerbrochen,,,ved. Pass. bhajyáte ‘wird zerbrochen’
32,*bʰeg-{1},R(z)-i̯e-present,Iranian,khot.,false,bajäte,(zer)bricht (intr.),6,6: Iir. Neubildung zum Nasalpräsens; vgl. EMMERICK 91-2.,khot. bajäte ‘(zer)bricht (intr.)’{6}
33,*bʰeg-{1},perfect,Indic,ved.,false,babháñja,hat zerbrochen,,,ved. babháñja ‘hat zerbrochen’
34,*bʰegʷ-,root aorist,Slavic,aksl.,false,-běgъ,"lief, floh",,,"[aksl. -běgъ ‘lief, floh’"
35,*bʰegʷ-,acrodynamic root present,Greek,gr.,false,φέβομαι,fliehe,2,2: Mit Durchführung der R(e) aus phonotaktischen Gründen.,[gr. φέβομαι ‘fliehe’{2}
36,*bʰegʷ-,acrodynamic root present,Baltic,alit.,false,bė́gmi,"laufen, fliehen",,,"alit. bė́gmi, [lit. bė́gu, (bė́gti) ‘laufen, fliehen’"
37,*bʰegʷ-,acrodynamic root present,Baltic,lit.,false,bė́gu,"laufen, fliehen",,,"alit. bė́gmi, [lit. bė́gu, (bė́gti) ‘laufen, fliehen’"
38,*bʰegʷ-,acrodynamic root present,Slavic,aruss.,false,běgu,laufen,4,4,"[aruss. (+) běgu, (běči) ‘laufen’{3}"
39,*bʰegʷ-,acrodynamic root present,Slavic,aruss.,false,běči,laufen,,,"[aruss. (+) běgu, (běči) ‘laufen’{3}"
40,*bʰegʷ-,éi̯e-causative–iterative,Greek,gr.,false,φοβέω,verscheuche,,,"gr. φοβέω ‘verscheuche’, φοβέομαι ‘fliehe’"
41,*bʰegʷ-,éi̯e-causative–iterative,Greek,gr.,false,φοβέομαι,fliehe,,,"gr. φοβέω ‘verscheuche’, φοβέομαι ‘fliehe’"
42,*bʰegʷ-,nasal present,Slavic,aksl.,false,-běgnǫti,"laufen, fliehen",,,"aksl. (+) -běgnǫti ‘laufen, fliehen’"
43,*bʰegʷ-,fientive,Slavic,aksl.,false,běža,lief (davon),,,aksl. běža ‘lief (davon)’
44,*bʰegʷ-,essive,Slavic,aksl.,false,běžǫ,"laufen, fliehen",4,"4: Könnte das Nebeneinander von urslav. *běgǫ und *běži- auf Umbildung des athem. Präs. beruhen? Vgl. Ptz. gorǫšt- neben Präs. gori- bei gorěti ‘brennen’, s. *gʷʰer-.","aksl. (+) běžǫ, běžati ‘laufen, fliehen’{4}"
45,*bʰegʷ-,essive,Slavic,aksl.,false,běžati,"laufen, fliehen",,,"aksl. (+) běžǫ, běžati ‘laufen, fliehen’{4}"
46,?*bʰeh₁-{1},full-grade i̯e-present,Germanic,hd.,false,bien,"bähen, durch Umschläge wärmen",2,2: Vgl. LLOYD-SPRINGER 425.,"hd. (+) bien ‘bähen, durch Umschläge wärmen’{2}"
47,*bʰeh₁dʰ-{1},full-grade e-present,Indic,ved.,false,bā́dhate,"drängt, bedrängt",2,2: Vgl. GOTŌ 216.,"ved. bā́dhate ‘drängt, bedrängt’{2}"
48,*bʰeh₁dʰ-{1},éi̯e-causative–iterative,Indic,ved.,false,ápa bādhaya,dränge weg!,3,3: Nach JAMISON 102 Augenblicksbildung.,"ved. ápa bādhaya AV 12,1,49 ‘dränge weg!’{3}"
49,*bʰeh₁dʰ-{1},reduplicated sé-desiderative,Indic,ved.,false,abībhatsata,empfand Abscheu,4,"4: ← *‘von sich drängen wollen’, vgl. GOTŌ 217450; mit rhythmisch gekürztem a ← ā (Wurzelform bādh durchgeführt).",[ved. (YV) abībhatsata ‘empfand Abscheu’{4}
50,*bʰeh₁dʰ-{1},perfect,Indic,ved.,false,babādhā,hat bedrängt,,,ved. babādhā ‘hat bedrängt’
51,*bʰeh₁dʰ-{1},intensive,Indic,ved.,false,bābadhe,drängt (fortwährend),5,"5: Daneben Perfekt badbadhā ‘hat immer wieder bedrängt’, vgl. SCHAEFER 156-7; rhythmische Kürzung wie im Desider.",ved. bābadhe ‘drängt (fortwährend)’{5}
52,*bʰeh₁g̑ʰ-{1},full-grade e-present,Germanic,ahd.,false,bāgan,"streiten, schelten",2,"2: Auch schwach, vgl. SEEBOLD 93-4.","ahd. bāgan ‘streiten, schelten’{2}"
53,*bʰeh₁g̑ʰ-{1},perfect,Baltic,lett.,false,buôžuôs,die Haare sträuben; sich ärgern,3,"3: Vgl. ENDZELIN, KZ 52 (1924) 118. Herleitung aus Perfekt ist nicht zwingend, auch Umbildung einer anderen Bildung mit R(o) oder sekundärer Ablaut wäre möglich.","?[lett. buôžuôs, (buôztiês) ‘die Haare sträuben; sich ärgern’{3}"
54,*bʰeh₁g̑ʰ-{1},perfect,Baltic,lett.,false,buôztiês,,3,"3: Vgl. ENDZELIN, KZ 52 (1924) 118. Herleitung aus Perfekt ist nicht zwingend, auch Umbildung einer anderen Bildung mit R(o) oder sekundärer Ablaut wäre möglich.","?[lett. buôžuôs, (buôztiês) ‘die Haare sträuben; sich ärgern’{3}"
55,1.*bʰeh₂-{1},amphidynamic root-present,Indic,dev.,false,bhā́ti,"glänzt, strahlt",,,"ved. bhā́ti ‘glänzt, strahlt’"
56,1.*bʰeh₂-{1},amphidynamic root-present,Iranian,jav.,false,fra-uuāiti,leuchtet hervor,2,"2: Vgl. KELLENS, Verbe 89 mit Anm. 3. Hierher auch vīuuāiti Yt. 8,40, s. FORSSMAN, Koll. Erlangen 103-5.",jav. fra-uuāiti ‘leuchtet hervor’{2}
57,1.*bʰeh₂-{1},amphidynamic root-present,Greek,gr.,false,φάντα,leuchtend,Hsch.,Hsch.,gr. φάντα· λάμποντα Hsch. ‘leuchtend’
58,1.*bʰeh₂-{1},amphidynamic root-present,Greek,gr.,false,λάμποντα,leuchtend,Hsch.,Hsch.,gr. φάντα· λάμποντα Hsch. ‘leuchtend’
59,1.*bʰeh₂-{1},amphidynamic root-present,Slavic,osorb.,false,baju so,glimmen,3,"3: Nur sorb., vgl. Słownik prasłow. I 194.","[osorb. (+) baju so, (bać) ‘glimmen’{3}"
60,1.*bʰeh₂-{1},amphidynamic root-present,Slavic,osorb.,false,bać,glimmen,3,"3: Nur sorb., vgl. Słownik prasłow. I 194.","[osorb. (+) baju so, (bać) ‘glimmen’{3}"
61,1.*bʰeh₂-{1},nasal-infix present,Armenian,arm.,false,banam,öffne,4,"4: Vgl. KLINGENSCHMITT 112-3; dazu neu Aor. ebacʽ ‘öffnete’, vgl. KLINGENSCHMITT 285.",arm. banam ‘öffne’{4}
62,1.*bʰeh₂-{1},nasal-infix present,Greek,gr.,false,φαν-,"sichtbar machen, zeigen",5,"5: Auf dem Stamm des Nasalpräsens *pʰan- (nach KLINGENSCHMITT 113 auf thematisiertem *pʰane-) beruht das ganze gr. Paradigma: Präs. φαίνω, Aor. ἔφηνα ‘zeigen’, Präs. φαίνομαι, Aor. ἐφάνην, Perf. πέφασμαι (att. auch aktiv πέφηνα) ‘erscheinen’.","[gr. φαν- ‘sichtbar machen, zeigen’, Med./Pass. ‘sichtbar werden, erscheinen’{5}"
63,1.*bʰeh₂-{1},nasal-infix present,Albanian,ger.,false,bën,"macht, tut",6,"6: 1s b‘j, ageg. /bań/ < *bani̯e- (← *ban- < *bʰn̥h₂- wie im Gr.), vgl. KLINGENSCHMITT 113; zur Semantik vgl. OREL 22 mit Lit.","[alb. bën ‘macht, tut’{6}"
64,1.*bʰeh₂-{1},perfect,Greek,gr.,false,πεφήσεται,wird erscheinen,7,"7: Einzige gr. Form (außer der Hesych-Glosse φάντα, s.o.), die nicht auf dem Nasalpräs. beruht.","[gr. Fut. πεφήσεται Il. 17,155 ‘wird erscheinen’{7}"
65,2.*bʰeh₂-{1},amphidynamic root-present,Armenian,arm.,false,sagt,,2,"2: Nur zur Einleitung der wörtlichen Rede, ebenso 1s bam, 2s bas, s. KLINGENSCHMITT 84.",arm. bay ‘sagt’{2}
66,2.*bʰeh₂-{1},amphidynamic root-present,Greek,gr.,false,φημί,sage,,,"gr. φημί, dor. φᾱμί, äol. φᾶμι ‘sage’"
67,2.*bʰeh₂-{1},amphidynamic root-present,Greek,dor.,false,φᾱμί,sage,,,"gr. φημί, dor. φᾱμί, äol. φᾶμι ‘sage’"
68,2.*bʰeh₂-{1},amphidynamic root-present,Greek,äol.,false,φᾶμι,sage,,,"gr. φημί, dor. φᾱμί, äol. φᾶμι ‘sage’"
69,2.*bʰeh₂-{1},amphidynamic root-present,Italic,lat.,false,fārī,sprechen,3,"3: Wohl zum i̯e-Präs. erweitert, vgl. WALDE-HOFMANN I 525-6.","[lat. for, fārī ‘sprechen’{3}"
70,2.*bʰeh₂-{1},amphidynamic root-present,Germanic,ae.,false,bō(ia)n,prahlen,4,"4: Nach SEEBOLD, FT Wien 483 viell. zu *g̑ʰu̯eH- ‘rufen’.",?[ae. bō(ia)n sw.2 ‘prahlen’{4}
71,2.*bʰeh₂-{1},amphidynamic root-present,Slavic,aruss.,false,baju,erzählen; zaubern,5,5: Vgl. VAILLANT III 264-5.,"[aruss. (+) baju, (bajati) ‘erzählen; zaubern’{5}"
72,2.*bʰeh₂-{1},amphidynamic root-present,Slavic,aruss.,false,bajati,erzählen; zaubern,5,5: Vgl. VAILLANT III 264-5.,"[aruss. (+) baju, (bajati) ‘erzählen; zaubern’{5}"
73,2.*bʰeh₂-{1},nasal-infix present,Indic,ved.,false,bhánati,spricht,6,"6: Wenn (mit trivialer Akzentverschiebung) thematisiert aus *bhanā́- < *bʰn̥éh₂- und nicht zu einer Parallelwurzel *bʰen(H)-, die auch in ahd. (+) bannan ‘aufbieten, vorladen’ (kaum mit SEEBOLD 89 aus *bʰh₂-nu̯-) vorliegen könnte, vgl. LÜHR, MSS 35 (1976) 92.",[ved. bhánati ‘spricht’{6}
74,2.*bʰeh₂-{1},nasal-infix present,Iranian,khot.,false,banāre,schreien auf,7,"7: Hierher nach EMMERICK 93, doch semantisch problematisch.",?[khot. banāre ‘schreien auf’{7}
75,2.*bʰeh₂-{1},s-desiderative,Greek,gr.,false,φήσω,werde sagen,8,8: Dazu erst nachhomerisch Aor. ἔφησα.,[gr. Fut. φήσω ‘werde sagen’{8}
76,2.*bʰeh₂-{1},ske-present,Greek,gr.,false,ἔφασκον,sagte,9,"9: Früh nur Ipf., Ind. Präs. erst spät.",gr. ἔφασκον ‘sagte’{9}
77,*bʰeh₃g-,amphidynamic root-present,Greek,[gr. att.,false,φώγω,"brate, röste",,,"[gr. att. φώγω ‘brate, röste’"
78,*bʰeh₃g-,amphidynamic root-present,Germanic,de.,false,bacan,"brate, röste",1,"1: Ahd. neben bahhan auch fränk. backan und mnd. mnl. bakken, mit Assimilation eines sekundären n-Suffixes (< *bak-n°) oder sekundärer Gemination, vgl. SEEBOLD 87-8; LLOYD-SPRINGER I 419-21.","[ae. (+) bacan ‘brate, röste’{1}"
79,*bʰeh₃g-,sigmatic aorist,Greek,gr.,false,ἔφωξα,röstete,,,gr. ion. att. ἔφωξα ‘röstete’
80,*bʰeh₃g-,iterative,Slavic,ger.,false,bažú,"wünschen, begehren",2,2: Nach IEW und VASMER I 38 viell. hierher als ‘heiß begehren’.,"russ. (+) bažú, bažít' ‘wünschen, begehren’{2}"
81,*bʰeh₃g-,iterative,Slavic,ger.,false,bažít,"wünschen, begehren",2,2: Nach IEW und VASMER I 38 viell. hierher als ‘heiß begehren’.,"russ. (+) bažú, bažít' ‘wünschen, begehren’{2}"
82,*bʰei̯d-,root aorist,Indic,ved.,false,abhet,hat gespalten,1,"1: 2s Inj. Med. bhitthās YV ist wohl bereits zum s-Aorist umgedeutet, s. NARTEN 180.",ved. abhet ‘hat gespalten’{1}
83,*bʰei̯d-,root aorist,Celtic,keltib.,true,,soll abschlagen (?),1a,1a,?[keltib. biðetuð K.1.1 ‘soll abschlagen (?)’{1a}
84,*bʰei̯d-,nasal-infix present,Indic,ved.,false,bhinátti,spaltet,,,ved. bhinátti ‘spaltet’
85,*bʰei̯d-,nasal-infix present,Italic,lat.,false,"findō, -ere",spalten,,,"[lat. findō, -ere ‘spalten’"
86,*bʰei̯d-,full-grade e-present,Iranian,khot.,false,bitte,durchbohrt,3,"3: < *bida-, s. EMMERICK 96. Vielleicht mit R(z) vom PPP bista-.",?[khot. bitte ‘durchbohrt’{3}
87,*bʰei̯d-,full-grade e-present,Greek,gr.,false,φείδομαι,"spare, schone",4,4: Semant. Entwicklung noch ungeklärt: „nur einen abgespaltenen Teil verwenden“?,"gr. φείδομαι ‘spare, schone’{4}"
88,*bʰei̯d-,full-grade e-present,Germanic,got.,false,beitan,beißen,,,got. (+) beitan ‘beißen’
89,*bʰei̯d-,éi̯e-causative–iterative,Germanic,An.,false,beita,zäumen; weiden lassen,5,5: Vgl. SEEBOLD 97.,an. (+) beita ‘zäumen; weiden lassen’{5}
90,*bʰei̯d-,s-desiderative,Celtic,keltib.,true,ro-biseti,soll(te) abschlagen,5a,5a,?[keltib. Konj. ro-biseti K.1.1 ‘soll(te) abschlagen (?)’{5a}
91,*bʰei̯d-,s-aorist,Indic,ved.,false,abhaitsam,habe zerschlagen,6,6: Vgl. NARTEN 180.,"ved. abhaitsam AVP 9,6,6 ‘habe zerschlagen’{6}"
92,*bʰei̯d-,s-aorist,Greek,gr.,false,ἐφεισάμην,"sparte, schonte",,,"gr. ἐφεισάμην ‘sparte, schonte’"
93,*bʰei̯d-,reduplicated aorist,Greek,gr.,false,πεφιδέσθαι,schonen,,,gr. hom. πεφιδέσθαι ‘schonen’
94,*bʰei̯d-,R(z)-i̯e-present,Indic,ved.,false,bhídyate,"zerbricht, geht enzwei",6a,6a,"ved. bhídyate ~ bhidyáte ‘zerbricht, geht enzwei’{6a}"
95,*bʰei̯d-,R(z)-i̯e-present,Indic,ved.,false,bhidyáte,"zerbricht, geht enzwei",,,"ved. bhídyate ~ bhidyáte ‘zerbricht, geht enzwei’{6a}"
96,*bʰei̯d-,perfect,Indic,ved.,false,bibhāda,hat gespalten,6b,6b,ved. bibhāda ‘hat gespalten’{6b}
97,*bʰei̯d-,perfect,Italic,lat.,false,fidī,spaltete,7,"7: Wenn aus Komposita für *fi-fidī; dagegen nach MEISER, Habil. §219 Reimwortbildung zu scindere : scidī.",lat. fidī ‘spaltete’{7}
98,*bʰei̯d-,perfect,Germanic,got.,false,bait,biß,,,got. (+) bait ‘biß’
99,*bʰei̯dʰ-,root aorist,Greek,gr.,false,ἐπιθόμην,gehorchte,,,[gr. ἐπιθόμην ‘gehorchte’
100,*bʰei̯dʰ-,nasal-infix present,Albanian,,false,bind,überzeugt. überredet,1a,1a,[alb. bind ‘überzeugt. überredet’{1a}
101,*bʰei̯dʰ-,full-grade e-present,Greek,gr.,false,πείθομαι,gehorche,2,"2: Dazu faktitives Aktiv πείθω ‘überrede’, das das verlorene Nasalpräsens ersetzt.",gr. πείθομαι ‘gehorche’{2}
102,*bʰei̯dʰ-,full-grade e-present,Italic,lat.,false,fīdō,vertrauen,,,"lat. fīdō, -ere ‘vertrauen’"
103,*bʰei̯dʰ-,full-grade e-present,Germanic,?got.,false,beidan,warten,3,"3: Semant. Verhältnis nicht klar, viell. ‘(er)warten’ aus ‘vertrauen (auf etwas Künftiges)’, vgl. BENVENISTE, Institutions 119-20; nach SEEBOLD 94-5 aus semant. Gründen von *bʰei̯dʰ- zu trennen, doch bliebe das germ. Verb dann etymologisch isoliert.",?got. (+) beidan ‘warten’{3}
104,*bʰei̯dʰ-,éi̯e-causative–iterative,Germanic,de.,false,baidjan,zwingen,4,"4: Zur Semantik vgl. BENVENISTE, Institutions 120; an. ahd. auch ‘verlangen, fordern’, s. auch SEEBOLD 95.",got. (+) baidjan ‘zwingen’{4}
105,*bʰei̯dʰ-,éi̯e-causative–iterative,Slavic,aksl.,false,běždǫ,zwingen,,,"aksl. běždǫ, běditi ‘zwingen’"
106,*bʰei̯dʰ-,éi̯e-causative–iterative,Slavic,aksl.,false,běditi,zwingen,,,"aksl. běždǫ, běditi ‘zwingen’"
107,*bʰei̯dʰ-,perfect,Greek,gr.,false,πέποιθα,vertraue,,,gr. πέποιθα ‘vertraue’
108,*bʰei̯dʰ-,perfect,Germanic,?,false,beið,wartete,,,?an. (+) beið ‘wartete’
109,*bʰei̯dʰ-,reduplicated aorist,Greek,gr.,false,πεπιθεῖν,überreden,,,"gr. ep. πεπιθεῖν ‘überreden’, πεπιθέσθαι ‘gehorchen’"
110,*bʰei̯dʰ-,reduplicated aorist,Greek,gr.,false,πεπιθέσθαι,gehorchen,,,"gr. ep. πεπιθεῖν ‘überreden’, πεπιθέσθαι ‘gehorchen’"
111,*bʰei̯dʰ-,s-aorist,Greek,gr.,false,ἔπεισα,überredete,5,"5: Bei Homer nur vereinzelt, wohl Neuerung für πεπιθεῖν.",gr. ἔπεισα ‘überredete’{5}
112,*bʰei̯H-{0},nasal-infix present,Italic,?,false,,du sollst zerschlagen,1,"1: perfines perfringas Fest. pp. 222 L., setzt ein -fināre voraus (vgl. RIX, GS KURYŁOWICZ 404), das allerdings auch als sekundäre Bildung zu *gʷʰen- gehören könnte.",?[alat. Konj. perfines ‘du sollst zerschlagen’{1}
113,*bʰei̯H-{0},nasal-infix present,Celtic,air.,false,-ben,schlagen,1a,1a,"[air. -ben, -benat ‘schlagen’{1a}"
114,*bʰei̯H-{0},nasal-infix present,Celtic,air.,false,-benat,schlagen,1a,1a,"[air. -ben, -benat ‘schlagen’{1a}"
115,*bʰei̯H-{0},nasal-infix present,Albanian,?,false,,"keimt, sproßt",1b,1b,"?[alb. (m-)bin ‘keimt, sproßt’{1b}"
116,*bʰei̯H-{0},zero-grade i̯é-present,Slavic,aksl.,false,bijǫ,schlagen,2,2: Nach VAILLANT III 275 sekundär zum Aorist.,"?aksl. bijǫ, (biti) ‘schlagen’{2}"
117,*bʰei̯H-{0},sigmatic aorist,Slavic,aksl.,false,bi,"schlug, schlugen",,,"aksl. bi, bišę ‘schlug, schlugen’"
118,*bʰei̯H-{0},sigmatic aorist,Slavic,aksl.,false,bišę,"schlug, schlugen",,,"aksl. bi, bišę ‘schlug, schlugen’"
119,*bʰei̯H-{0},perfect,Celtic,air.,false,bí,schlug(en),3,3: Vgl. MCCONE 125.,"air. bí, béotar ‘schlug(en)’{3}"
120,*bʰei̯H-{0},perfect,Celtic,air.,false,béotar,schlug(en),3,3: Vgl. MCCONE 125.,"air. bí, béotar ‘schlug(en)’{3}"
121,*bʰei̯h₂-{0},root aorist,Indic,ved.,false,mā́ bhema,laß uns nicht in Furcht geraten!,1,"1: Daraus schon im RV verdeutlichender s-Aorist ábhaiṣma, ábhaiṣur, vgl. NARTEN 180-1.",ved. mā́ bhema ‘laß uns nicht in Furcht geraten!’{1}
122,*bʰei̯h₂-{0},full-grade e-present,Indic,ved.,false,bháyate,fürchtet sich,,,ved. bháyate ‘fürchtet sich’
123,*bʰei̯h₂-{0},full-grade e-present,Iranian,ger.,false,fürchten,fürchten,2,"2: Obwohl gegenüber biieṇtē schlechter bezeugt, ist diese Lesung wegen des Ved. und jav. baiieṇte (s.u.) vorzuziehen; zur Bdtg. vgl. HUMBACH, Die Gathas I 107, II 45 mit Lit.; hingegen nehmen z.B. BARTHOLOMAE 927; KELLENS-PIRART I 127; III 118 faktitive Bdtg. ‘erschrecken’ an. Diese ist jedenfalls anzusetzen für jav. baiieṇte Yt. 17,12f.; intr. dagegen ni-βiieiti P. 20 ‘hat Furcht’, Fehler für Med. *ni-βαiiete?","?aav. baiieṇtē Y. 34,8 ‘fürchten’{2}"
124,*bʰei̯h₂-{0},perfect,Indic,ved.,false,bibhā́ya,fürchtet sich,3,"3: Später zum Präsens bibhāti umgebildet, schon im RV Ptz. bíbhyat-, vgl. WACKERNAGEL, KZ 41 (1907) 305f. = Kl. Schr. 494f.; KÜMMEL, Perfekt 59-60; 336-8.",ved. bibhā́ya ‘fürchtet sich’{3}
125,*bʰei̯h₂-{0},perfect,Iranian,jav.,false,biβiuuāh-,in Furcht,4,"4: So jedenfalls Yt. 11,5; 13,41; möglicherweise auch Yt. 19,48; 50 zu lesen, doch dort anscheinend mit faktitiver Bedeutung ‘furchterregend’, vgl. HINTZE 264-5; KÜMMEL, Perfekt 649-51.",jav. Ptz. biβiuuāh- ‘in Furcht’{4}
126,*bʰei̯h₂-{0},perfect,Germanic,ahd.,false,bibēn,"zittern, beben",5,"5: Vgl. zur Herleitung aus dem Perf. NARTEN, Sprache 27 (1981) 10 = Kl. Schr. 242; der Umbildungsprozeß verlief wohl so: *bʰebʰói̯h₂-/bʰebʰih₂- > urgerm. *bebai-/bibī- → *bibai-/bibja- nach der 3. schwachen Klasse (J. A. H.), vgl. KÜMMEL, Perfekt 338.","[ahd. (+) bibēn ‘zittern, beben’{5}"
