Root,Meaning,Closest Concepticon Match (unreliable),Suggested Match,AMB comments
trē̆u-,to prosper,TWO,SUCCEED,
trozdos- : tr̥zdos-,"<b>thrush</b>, blackbird","BLACKBOARD, THRUST",BIRD,
1. u-,"(onomatopoeic: owl's hoot, etc.)","OWL, BOOT, PET",OWL,
u̯adʰ-,pledge,SLEDGE,SWEAR,
1. u̯ap-,to chatter,"TWO, CHAPTER",CHAT (WITH SOMEBODY),
ū̆d-,"<b>out</b>, away, up(wards)","OAT, SWAY",UP,
u̯ed-,to lead,"LOAD, TWO",LEAD (GUIDE),
"2. u̯edʰ-, before nasals u̯ed-",to lead,"LOAD, TWO",LEAD (GUIDE),
?*u̯eHg̑ʰ-{1},"acknowledge, respect","REPEAT, KNOWLEDGE",RESPECT (SOMEBODY),
?3.*u̯ei̯s-{1},"execute, accomplish",,SUCCEED,
"2. u̯ei-, u̯ei̯ə- : u̯ī̆-","to <b>wizen</b>, wither","WISE, TWO, MOTHER","DIE, DRY UP",
u̯ək- : *u̯āk-,bent,BEND,CROOKED,
u̯e-n-g-,bent,BEND,CROOKED,
u̯e-n-gʰ-,bent,BEND,CROOKED,
?*u̯enh₁-{1},"set, place, lay","LADY, PET, PLATE","
PUT, LAY (VERB)",
u̯e-n-k-,bent,BEND,CROOKED,
u̯ēp- : u̯əp-,to blow; to soar,"STAR, TWO, FLOW",BLOW (OF WIND),
?2.*u̯er-{1},run/walk,,"RUN, WALK, WALK (MANNER)",
2. u̯es-,to feast,"EAST, TWO","
CONSUME (DRINK OR EAT)",
u̯es-r̥,spring,STRING,SPRINGTIME,
"3. u̯ē-, u̯ə-",to blow,"TWO, FLOW","BLOW (OF WIND), BLOW (WITH MOUTH)",
"u̯ogʷʰni-s, u̯ogʷʰnes-",plowshare,,"FIELD, BLADE",no match for 'plow'
u̯ōro-,"madness; dizziness, <b>weariness</b>",SADNESS,"MAD, GET DIZZY, GET TIRED, TIRED",
"u̯rēǵ-, u̯rōǵ-, u̯rəǵ-",to break,"TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
?*u̯Rei̯H-{1},compress,COMPASS,"PUSH, SQUEEZE",
"u̯reik-, u̯ereik-",heather,LEATHER,PLANT (VEGETATION),
"u̯retʰ- : u̯rotʰ-, or u̯ratʰ-",to support,TWO,"HELP, PUT (IN A STANDING POSITION)",
