,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
8,"agro-, egro-?",hitt.,"\\ḫé-kur\\, \\ḫé-gur\\","first, highest; apex, beginning","Falls ai. \\ágra\\- auf \\*ogro-\\ oder \\*egro-\\ zurückginge, könnte man hitt. \\ḫé-kur\\, \\ḫé-gur\\ 'Felsgipfel' vergleichen.",,"first, highest; apex, beginning","If ai. \ágra-\ went back to \*ogro-\ or \*egro-\, one could compare hitt. \ḫé-kur\, \ḫé-gur\ 'rock peak'."
0,1. ai,Ai.,ē,"Ausruf des Sichbesinnens, der Anrede, des Mitleids",,,"Exclamation of self-reflection, addressing someone, expressing sympathy",
1,1. ai,ai.,ai,"Ausruf des Sichbesinnens, der Anrede, des Mitleids",,,"Exclamation of self-reflection, addressing someone, expressing sympathy",
2,1. ai,ai.,ayi,Interjektion beim Vokativ,,,Interjection used with vocative,
3,1. ai,av.,āi,Interjektion des Anrufs vor dem Vokativ,,,Interjection of calling before the vocative,
4,1. ai,gr.,αἴ,"Ausruf der Verwunderung, des Staunens oder Schmerzes","davon αἰάζω 'seufze, beklage', αἴαγμα 'Seufzen'",,"Exclamation of amazement, astonishment, or pain.","from αἰάζω 'sigh, lament', αἴαγμα 'sigh'"
5,1. ai,gr.,αἶ,"Ausruf der Verwunderung, des Staunens oder Schmerzes",,,"Exclamation of amazement, astonishment, or pain.",
6,1. ai,gr.,αἰαῖ,"Ausruf der Verwunderung, des Staunens oder Schmerzes",,,"Exclamation of amazement, astonishment, or pain.",
7,1. ai,lit.,aĩ,ach! wehe!' und vor Vokativen,,,oh! woe!' and before vocatives,
8,1. ai,lit.,ái,ach! wehe!' und vor Vokativen,,,oh! woe!' and before vocatives,
0,2. ai-,Präs.,(a)ineumi,"auf etwas eindringen, bewältigen'",,,"penetrate something, intrude upon something; overcome, master",
1,2. ai-,ai.,inóti,"auf etwas eindringen, bewältigen'",,,"penetrate something, intrude upon something; overcome, master",
2,2. ai-,ai.,ínvati,"auf etwas eindringen, bewältigen'",,,"penetrate something, intrude upon something; overcome, master",
3,2. ai-,ai.,inuhí,"auf etwas eindringen, bewältigen'",imper.,,"penetrate something, intrude upon something; overcome, master",imper.
,,,,,,,,
5,2. ai-,ai.,-inita- ,"eingedrückt, eingeschnürt'","partiz., in úpenita-",,"dented, pressed in; cinched, tied up","participle, in \úpenita-\"
6,2. ai-,av.,inaoiti,"vergewaltigen, kränken'",,,"to violate; to hurt, to offend, to harm emotionally",
7,2. ai-,av.,aēnaŋhe,"vergewaltigen, kränken'",,,"to violate; to hurt, to offend, to harm emotionally",
8,2. ai-,av.,ainita,"nicht vergewaltigt, nicht gekränkt'",aus *an-inita durch Haplologie,,"not violated, not offended",from \*an-inita\ through haplology
9,2. ai-,ai.,énas-,"Frevel, Sünde, Unglück'",möglicherweise verwandt mit av. aēnah-,,"transgression, sin, misfortune",possibly related to av. \aēnah-\
10,2. ai-,av.,aēnah-,"Gewalttat, Frevel'",möglicherweise verwandt mit ai. énas-,,"violent act, transgression",possibly related to ai. \énas-\
11,2. ai-,av.,aēnah-,Übeltäter',möglicherweise verwandt mit ai. énas-,,wrongdoer,possibly related to ai. \énas-\
12,2. ai-,av.,intay-,"Vergewaltigung, Kränkung; Qual'",,,"rape, offense; torment",
13,2. ai-,ai.,iná-,stark; m. Gebieter',,,strong; (masc.) ruler,
14,2. ai-,ai.,īti-ḥ,"Plage, Not'",möglicherweise,,"plague, distress",possibly
15,2. ai-,gr.,αἰνός,schrecklich',,,dreadful,
16,2. ai-,got.,faír-ina,"Schuld, Vorwurf'",möglicherweise hierher -in-,,"guilt, accusation","possibly comes from -in-, if the original meaning is 'act of violence', see Weisweiler IF. 41, 29 f."
17,2. ai-,ahd.,firinōn,sündigen',"möglicherweise hierher -in-, falls ursprüngliche Bedeutung 'Gewalttat'",,to sin,"possibly comes from -in-, if the original meaning is 'act of violence', see Weisweiler IF. 41, 29 f."
18,2. ai-,aisl.,firn,Außerordentliches',"möglicherweise hierher -in-, falls ursprüngliche Bedeutung 'Gewalttat', vgl. Weisweiler IF. 41, 29 f.",,extraordinary (thing/event),"possibly comes from -in-, if the original meaning is 'act of violence', see Weisweiler IF. 41, 29 f."
0,ā(i)g̑h- : īg̑h-,Av.,āzi-š,Begierde,,,"Desire, longing",
1,ā(i)g̑h- : īg̑h-,np.,az,Begierde,,,"Desire, longing",
2,ā(i)g̑h- : īg̑h-,Av.,āza-š,"Streben, Eifer",m. ,,"Striving, zeal",m.
3,ā(i)g̑h- : īg̑h-,Av.,izyati,"strebt, verlangt nach",ablautend,,"Seeks, longs for",showing ablaut
4,ā(i)g̑h- : īg̑h-,Av.,ī̆žā,"Streben, Eifer, Erfolg",,,"Striving, zeal, success",
5,ā(i)g̑h- : īg̑h-,ai.,īhā,Verlangen,,,"Longing, desire",
6,ā(i)g̑h- : īg̑h-,ai.,īhatē,strebt wonach,,,Strives for,
7,ā(i)g̑h- : īg̑h-,gr.,ἀ̄χήν,dürftig,"/= ἠχῆνες · κενοί, πτωχοί Hes. (durch Anlehnung an Worte, mit ἀ-privativum daraus ἀεχῆνες · πένητες Hes., und ἀχενία 'Mangel, Armut')",,"Meager, scanty, insufficient","/= ἠχῆνες · κενοί, πτωχοί Hes. (by association with words, with ἀ-privative resulting in ἀεχῆνες · πένητες Hes., and ἀχενία 'lack, poverty')"
8,ā(i)g̑h- : īg̑h-,gr.,κτεανηχής,πένης,Hes.,,πένης 'poor; needy',Hes.
9,ā(i)g̑h- : īg̑h-,gr.,ἰχανάω,begehre,,,desire,
10,ā(i)g̑h- : īg̑h-,gr.,ἶχαρ,Begierde,,,"craving, desire",
11,ā(i)g̑h- : īg̑h-,toch. A,ākāl,"Wunsch, Sehnsucht",Anders Pedersen Toch. 42.,,"wish; longing, yearning",Anders Pedersen Toch. 42.
12,ā(i)g̑h- : īg̑h-,toch. B,akālk,"Wunsch, Sehnsucht",Anders Pedersen Toch. 42.,,"wish; longing, yearning",Anders Pedersen Toch. 42.
0,ai-rā,Ai.,ērakā,eine Grasart,,,a type of grass,
1,ai-rā,gr.,αἶρα,"Unkraut im Weizen, Lolch","(αἰρικός, αἴρινος 'von Lolch')",,weed in wheat,"(αἰρικός, αἴρινος 'from rye grass')"
2,ai-rā,lett.,aĩres,Lolch,,,ryegrass,
3,ai-rā,lett.,aĩrenes,Lolch,,,ryegrass,
0,ai-tro-,Lit.,aitrùs,"bitter, herb",,,bitter,
1,ai-tro-,Lit.,aitrà,Schärfe,auch übertragen,,"sharpness, spiciness, pungency",also transferred.
,,,,,,,,
3,ai-tro-,abg.,ob-ętriti,entbrennen lassen,nasalinfigierendes *intro-,vielleicht,"to ignite, to kindle",perhaps nasal-infixed \*intro-\
4,ai-tro-,abg.,ob-ętriti sę,"brennen, hitzig sein",nasalinfigierendes *intro- vielleicht,,"to burn, to be heated",perhaps nasal-infixed \*intro-\
5,ai-tro-,wru.,zajátřič,erzürnen,nasalinfigierendes *intro- vielleicht,,"to anger, to infuriate",perhaps nasal-infixed \*intro-\
6,ai-tro-,klr.,roz-jatrýti ša,eitern,nasalinfigierendes *intro- vielleicht,,"to suppurate, to fester",perhaps nasal-infixed \*intro-\
0,"1. ak̑-, ak̑ō-",Ai.,aśnāti,"ißt, verzehrt","infigiert, Inf. aśi-tum usw.",,"eats, consumes","infixed, inf. \aśi-tum\, etc."
1,"1. ak̑-, ak̑ō-",Ai.,áśanam,das Essen; Speise,,,"food; dish, meal",
2,"1. ak̑-, ak̑ō-",Ai.,áśna-ḥ,gefräßig,,,"voracious, gluttonous",
3,"1. ak̑-, ak̑ō-",Ai.,āśayati,läßt speisen,dehnstufig,,"lets dine, allows to eat",lengthened grade
4,"1. ak̑-, ak̑ō-",Ai.,prātar-āśa-ḥ,Frühstück,,,breakfast,
5,"1. ak̑-, ak̑ō-",av.,kahrk-āsa,Hähnefresser = Geier,,,rooster-eater = vulture,
6,"1. ak̑-, ak̑ō-",gr.,ἄκυλος,Eichel,"als 'Nahrung', vgl. formal ai. aśú-ṣa-ḥ 'gefräßig'",,acorn,"as 'food', compare to formal Sanskrit \aśú-ṣa-ḥ\ 'voracious'"
7,"1. ak̑-, ak̑ō-",gr.,ἄκολος,Bissen,,,"bite, morsel",
8,"1. ak̑-, ak̑ō-",an.,agn,Lockspeise für Fische,*ak̂ə-nó-,,bait for fish,\*ak̂ə-nó-\
9,"1. ak̑-, ak̑ō-",an.,ǣja,weiden lassen,*ahjan,,"to graze, to let graze",\*ahjan\
0,akkā,Ai.,akkā,Mutter,(Gramm.),,mother,(Gramm.)
1,akkā,gr.,̓Ακκώ,Amme der Demeter,,,nurse of Demeter,
2,akkā,gr.,ἀκκώ,Popanz,,,"bogeyman, scarecrow",
3,akkā,gr.,ἀκκίζεσθαι,"sich zieren, sich dumm stellen",,,"to act coy, to play dumb",
4,akkā,lat.,Acca Lārentia,"Larenmutter, römische Flurgöttin",(wohl etruskisch),,"Lares mother, Roman goddess of the field",(probably Etruscan)
,,,,,,,,
6,akkā,lapp.,Madder-akka,Erdenmutter,,,Mother Earth,
0,ak̑ru,Ved.,áśru,Träne,,,tear,
1,ak̑ru,Ved.,áśram,Träne,später,,tear,later
2,ak̑ru,av.,asrū-,Träne,,,tear,
3,ak̑ru,lit.,ašarà,Träne,,,tear,
4,ak̑ru,lit.,ãšara,Träne,f.,,tear,f.
5,ak̑ru,toch. А,ākär,Träne,,,tear,
6,ak̑ru,toch. А,ākrunt,Träne,Pl.,,tear,pl.
7,ak̑ru,ai.,aśrāyāmi,weine,vgl.,,"cry, weep",cf.
8,ak̑ru,lit.,ãšaroju,weine,vgl.,,"cry, weep",cf.
9,ak̑ru,Ved.,*dak̂ru,Träne,"idg. Das Verhaltnis zu ist ungeklärt. Vgl. Meillet BSL. 32, 141.","this note covers all entries for this root. note should read: ""Das Verhaltnis zu idg. *dak̂ru `Träne' ist ungeklärt. Vgl. Meillet BSL. 32, 141."" also, delete this row",tear,"The relationship to PIE \*dak̂ru\ is unclear. Cf. Meillet BSL. 32, 141."
0,aku̯-,Ai.,áka-m,"Leid, Schmerz",,,"suffering, pain",
1,aku̯-,av.,akō,"böse, schlecht",,,"bad, evil",
2,aku̯-,av.,axtis̀,"Leid, Schmerz, Krankheit",,,"suffering, pain, illness",
3,aku̯-,gr.,"*ἄπαρ, *ἀπνός","davon ἠπανεῖ · ἀπορεῖ, ἠπανία · ἀπορία, ἠπεροπεύς",Betrüger,,"from ἠπανεῖ · ἀπορεῖ 'is confused', ἠπανία · ἀπορία 'perplexity, difficulty, dilemma', ἠπεροπεύς 'lookout, sentinel'",Fraudster
4,aku̯-,gr.,ἀπ-,Betrug,in ἀπάτη `Betrug' (*apn̥tā),,"deceit, fraud",in ἀπάτη 'Betrug' (\*apn̥tā\)
5,aku̯-,gr.,ἰάπτω,schädigen,redupl. Präsens,,"to harm, to damage",reduplicated present tense
0,4. al-,Ai.,alātam,"Feuerbrand, Kohle'",,,"firebrand, ember",
1,4. al-,Ai.,úlmukam,Brand',,,"blaze, fire",
2,4. al-,Lat.,adoleō,verbrenne (bes. Opfer)',,,to burn (especially as a sacrifice),
3,4. al-,Lat.,"adolēscō, -ere",auflodern (von Altären)',"('o' aus 'a', wie im etymologischverschiedenen 'adolēscere' 'heranwachsen' zu 'alō', s. unter *__al-2__ 'wachsen')",,"to flare up, to blaze (of altars)","('o' from 'a', as in the etymologically different 'adolēscere' 'grow up' to 'alō', see *__al-2__ 'grow')'"
4,4. al-,Lat.,altāre,Brandaltar',,,fire altar,
4,4. al-,Umbr.,uṙetu,ad adolendum,mit schwierigem 'o'-Ablaut,,ad adolendum 'for sacrifice',with difficult 'o' ablaut
5,4. al-,Nschwed.,ala,"lodern, flammen'","(Johannsson ZfdtPh. 31, 285 ff. m. Lit.)",,"to blaze, to flare up, to flame, to burn brightly","(Johannsson ZfdtPh. 31, 285 ff. m. Lit."
6,4. al-,Gr.,ἀλάβη,ἄνθρακες,"Hes. (Auffassung auch von lat. 'alacer', got. 'aljan' n. 'Eifer' usw. als 'feurig, hitzig' (Johansson aaO.) wäre möglich)",,ἄνθρακες 'charcoal',"Hes. (Also the interpretation of Latin \alacer\, Gothic \aljan\ n. 'Eifer' etc. as 'feurig, hitzig' (Johansson aaO.) would be possible.)"
7,4. al-,Ags.,ǣlan,brennen',(s.*__aidh-__),"Pokorny is saying here that ǣlan is from *aidh-, not *al-.  We should include it, but make it obvious that it's linked to the other root.",to burn,(s.*__aidh-__)
8,4. al-,Gall.,Alatus,PN,(Vielleicht gehört hierher),,,(Maybe it belongs here)
9,4. al-,Mir.,alad,"bunt, scheckig, gestreift'",(wenn ursprüngl. 'gebrannt'),,"colorful, variegated; 
piebald, spotted;
striped",(if originally 'burnt')
10,4. al-,Nir.,aladh,Forelle',('alā̆to-'),,trout,(\alā̆to-\)
0,albhi-,Gr.,ἄλφι,"Gerstengraupen, Gerstenmehl'",,,"barley groats, barley flour",
1,albhi-,Gr.,ἄλφιτον,"Gerstengraupen, Gerstenmehl'",,,"barley groats, barley flour",
2,albhi-,Gr.,ἀλίφατα,ἄλφιτα ἤ ἄλευρα,"Hes. (mit Entfaltungsvokal ι; s. Ehrlich KZ. 38, 55, der in ἄλφι : ἄλφατα - woraus durch Kreuzung mit ἄλφι dann ἄλφιτ-α, -ον - ein Verhaltnis wie zwischen ai. ásth-i : asth-n-áḥ sieht, was das uridg. Alter des Wortes verbürgen würde)",,ἄλφιτα ἤ ἄλευρα 'wheat or flour',"Hes. (with unfolding vowel ι; cf. Ehrlich KZ. 38, 55, who in ἄλφι : ἄλφατα sees a relationship like between ai. \ásth-i\ : \asth-n-áḥ\, which would legitimize the Proto-Indo-European age of the word)"
,,,,,,,,
4,albhi-,alb.,elp,Gerste,,,barley,
5,albhi-,alb.,elbi,Gerste,N. Pl. *albhī-,,barley,N. Pl. \*albhī-\
6,albhi-,turko-tatar.,arba,Gerste,Ein iran. *arbhi- erschließt Vasmer Stud. z. alb.Wortf. I (Dorpat 1921) S. 16 ff,,barley,An Iranian \*arbhi-\ is derived from Vasmer's studies on the Albanian word formation in I (Dorpat 1921) p. 16 ff.
7,albhi-,,*albh,barley,Beziehung zu *albh- 'weiß' nimmt Specht Dekl. 68 an.,"This is a weird entry, because there's no language form/word associated with it.  It's essentially a link to *albh- 'white'",barley,Specht Declension 68 assumes a relationship to \*albh-\ 'white'.
0,aldh-,Altn.,alda,"Welle, Feindschaft",,,"wave; enmity, hostility",
1,aldh-,norw. dial.,olda,Trog,,,trough,
2,aldh-,schwed. dial.,ålla,längliche Vertiefung,,,elongated hollow,
3,aldh-,ags.,ealdoþ,"Trog, Bottich",,,"trough, tub",
4,aldh-,ags.,aldot,"Trog, Bottich",,,"trough, tub",
5,aldh-,ags.,aldaht,"Trog, Bottich",,,"trough, tub",
6,aldh-,nhd. bair.,alden,Ackerfurche,,,furrow,
,,,,,,,,
8,aldh-,ksl.,ladĳi,Kahn,baltoslav. *aldii̯ā-,,"boat, skiff",bsl. \*aldii̯ā-\
9,aldh-,ksl.,alъdĳi,Kahn,baltoslav. *aldii̯ā-,,"boat, skiff",bsl. \*aldii̯ā-\
10,aldh-,lit.,aldĳà,Flußkahn,baltoslav. *aldii̯ā-,,river barge,bsl. \*aldii̯ā-\
11,aldh-,lit.,eldĳà,Flußkahn,baltoslav. *aldii̯ā-,,river barge,bsl. \*aldii̯ā-\
12,aldh-,lit.,eldĳė̃lė,Räucherpfanne,baltoslav. *aldii̯ā-,,Räucherpfanne,bsl. \*aldii̯ā-\
13,aldh-,Norw.,lodje,russisches Fahrzeug,,,Russian vehicle,
14,aldh-,schwed.,lodja,russisches Fahrzeug,,,Russian vehicle,
15,aldh-,mnd.,lod(d)ie,russisches Fahrzeug,,,Russian vehicle,
16,aldh-,mnd.,loddige,russisches Fahrzeug,,,Russian vehicle,
17,aldh-,russ.,łodьjá,russisches Fahrzeug,/= asl. ladĳi,,Russian vehicle,[UNKNOWN]
,,,,,,,,
19,aldh-,note,,,Falk-Torp 652 (s. auch 789 unter'olde').,delete row and add note to references?,,Falk-Torp 652 (see also 789 under 'olde')
0,alp-,Ai.,"alpa-, alpaka-","klein, gering",schwer in der Bedeutung zu vereinen,,"small, low",difficult to reconcile in meaning
1,alp-,Ai.,alpēna,"leicht, schnell",,,"light, fast",
2,alp-,Ai.,alpāt,"leicht, schnell",,,"light, fast",
3,alp-,lit.,"alpstù, alpaũ, al̃pti",ohnmächtig werden,,,"to become powerless, to faint",
4,alp-,lit.,alpùs,schwach,,,weak,
5,alp-,lett.,el̃pe,"Luftschöpfen, Atemzug",,,"breathing, breath",
6,alp-,lett.,alpà,"Mal, Zeitpunkt",,,"time, moment",
7,alp-,hom.,ἀλαπαδνός,schwach,bei Aeschylos λαπαδνός,,weak,at Aeschylus λαπαδνός [UNKNOWN]
8,alp-,hom.,ἀλαπάζω,"leere aus, erschöpfe",,,"to empty, to exhaust",
9,alp-,att.,λαπάζω,plündere,,,to plunder,
10,alp-,att.,λαπάττω,leere (den Leib)aus,ist bedenklich wegen ihrer zweisilbigen Wzf. gegenüber der leichten der ai. und lit. Worte,,to empty (the body),is worrisome because of its disyllabic nature compared to the lightness of the ai. and lit. words.
11,alp-,att.,λαπαρός,"schmächtig, dünn, offenen Leib habend",,,"puny, thin, having an open body",
12,alp-,att.,λαπάρα,"Flanke, Dünnung des Leibes an der Hüfte",,,"flank, thinning of the body at the hip",
13,alp-,att.,λάπαθος,"Aushöhlung, Grube","in der Bedeutungsfärbung ('ausleeren, eingefallen') doch erheblich ab",,"hollow, pit","in terms of connotation ('to empty, to collapse'), significantly lower"
14,alp-,att.,λάπαθος,Sauerampfer,"als 'βοτάνη κενωτική' in der Bedeutungsfärbung ('ausleeren, eingefallen') doch erheblich ab",,sorrel (herb),"as 'βοτάνη κενωτική' in the sense of 'emptying, collapsing' significantly differs"
15,alp-,alb.,laps,"bin müde, überdrüssig","Jokl SBAk. Wien 168, I 48. Ganz fragwürdig",,"I am tired, weary","Jokl SBAk. Vienna 168, I 48. Quite questionable."
16,alp-,hett.,al-pa-an-da-,"krank, schwach",alpant-,Pokorny is unsure of this form.,"sick, weak",alpant- [UNKNOWN]
,,,,,,,,
0,"ālu-, ālo-",Ai.,"ālú-ḥ, ālukám-","bulbus, radix globosa esculenta",,,"bulb, tuberous root",
1,"ālu-, ālo-",lat.,"ālum, ālium",Knoblauch,,,garlic,
2,"ālu-, ālo-",osk.,*allō,wohl als Grundlage von gr. ἀλλᾆς 'Wurst',aus *ali̯ā wohl als Grundlage von gr. ἀλλᾆς `Wurst',,probably as the basis for Greek word ἀλλᾆς 'sausage',aus *ali̯ā wohl als Grundlage von gr. ἀλλᾆς `Wurst'
3,"ālu-, ālo-",lat.,"ālum, ālus","Symphytum officinale L., Beinwell, Wallwurz",eine um ihrer Wurzel willengeschätzte Pflanze (vielleicht gall. Wort? s. Thesaurus),,"Symphytum officinale L., comfrey",a plant valued for its root (perhaps a Gaulish word? see Thesaurus)
0,"andher-, ṇdher-",gr,ἀθήρ,"Hachel an der Ähre, Lanzenspitze",,,"awn on the ear of grain, spearhead",
1,"andher-, ṇdher-",gr,ἀνθέριξ,"Halmspitze, Halm",,,"tip of the straw, straw",
2,"andher-, ṇdher-",gr,ἀνθέρικος,"Halm, Stengel",,,"straw, stem",
3,"andher-, ṇdher-",gr,ἀνθερεών,"Kinn als 'bärtige, struppige Stelle'",,,"chin as 'bearded, bristly place'",
4,"andher-, ṇdher-",gr,ἀνθρίσκος,der gemeine Kerbel,benannt nach seinen stachligen Früchten,,common chervil,named after its prickly fruits
5,"andher-, ṇdher-",gr,ἀνθρήνη,"Wespe, Waldbiene","Wortausgang nach τενθρήνη 'Hornis', τανθρηδών 'Wespe'",,"wasp, forest bee","Wortausgang nach τενθρήνη 'Hornis', τανθρηδών 'Wespe' [UNKNOWN]"
5,"andher-, ṇdher-",gr,ἀνθρηδών,"Wespe, Waldbiene","Wortausgang nach τενθρήνη 'Hornis', τανθρηδών 'Wespe'",,"wasp, forest bee","Wortausgang nach τενθρήνη 'Hornis', τανθρηδών 'Wespe' [UNKNOWN]"
