,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
4,kseud-,kseud-,abg.,chudъ,"klein; gering, schlecht'",Komp. \chuždьjь\ (: ai. \kṣṓdīyas-\),,"small; low, bad'",Comp. \chuždьjь\ (: ai. \kṣṓdīyas-\)
5,kseud-,kseud-,čech.,chudý,mager',"Machek (Slavia 16, 174) nimmt als ursprüngl. Bedeutung 'mager' an, das er somit zu ai. \kṣudhyati\ 'hungert', \kṣōdh-uka-\ 'hungrig' stellen möchte.",,skinny/scrawny,"Machek (Slavia 16, 174) assumes 'mager' as the original meaning, which he thus relates to Sanskrit \kṣudhyati\ 'hungers', \kṣōdh-uka-\ 'hungry'."
6,kseud-,kseud-,av.,xšudra-,flüssig,"Verbindung von ai. \kṣudrá-\ mit av. \xšudra-\ 'flüssig' (s. __kseud-2__) versucht Batakrishna Ghosh (Les formations nominales en p, S. 21) zu begründen.",,liquid,"Batakrishna Ghosh (Les formations nominales en p, p. 21) tries to justify the connection between ai. \kṣudrá-\ and av. \xšudra-\ 'liquid' (see __kseud-2__)."
0,k̂ū-,k̑ū-,ai.,śū-la-,"Spieß, spitzer Pfahl; stechender Schmerz'",,,"Spear, pointed stake; stabbing pain",
1,k̂ū-,k̑ū-,arm.,slak',"Spieß, Dolch, Pfeil'",aus *sulak',,"Spear, dagger, arrow",from *sulak'
2,k̂ū-,k̑ū-,air.,cuil,culex',,,culex (the original word is already in English),
3,k̂ū-,k̑ū-,cymr.,cylion-en,culex',,,culex (the original word is already in English),
4,k̂ū-,k̑ū-,lat.,culex,Mücke',,,Mosquito,
5,k̂ū-,k̑ū-,ai.,śū-ka-,"Stachel eines Insekts, Granne des Getreides'",,,"Sting of an insect, grain awn",
6,k̂ū-,k̑ū-,av.,sū-kā-,Nadel',f.,,Needle,f. [UNKNOWN]
7,k̂ū-,k̑ū-,np.,sōzan,Nadel',,,Needle,
8,k̂ū-,k̑ū-,np.,sōk,"Ähre, Granne'",,,"Ear of corn, awn",
9,k̂ū-,k̑ū-,lat.,cuneus,Keil',auf Grund von \k̂u-no- 'Spitze'\,,Wedge,due to \k̂u-no- 'tip'
10,k̂ū-,k̑ū-,prākr.,osukkai,"wetzt, schärft'",zweifelhaft,,"sharpen, hone.",doubtful
0,k̂ū̆dh-,k̑ū̆dh-,gr.,ὑσ-κυθά,ὑὸς ἀφόδευμα,Hes.,,pig's waste,Hes. [UNKNOWN]
,,,,,,,,,
2,k̂ū̆dh-,k̑ū̆dh-,gr.,κυθώδεος,δυσόσμου,Hes.,,unpleasant smell,Hes. [UNKNOWN]
3,k̂ū̆dh-,k̑ū̆dh-,gr.,κυθνόν,σπέρμα,Hes.,,seed,Hes. [UNKNOWN]
4,k̂ū̆dh-,k̑ū̆dh-,lit.,šúdas,"Mist, Kot",,,"Shit, feces",
5,k̂ū̆dh-,k̑ū̆dh-,lett.,sūds,"Mist, Kot",,,"Shit, feces",
0,k̂up-,k̑up-,ai.,śupti-,Schulter,,,Shoulder,
1,k̂up-,k̑up-,av.,supti-,Schulter,,,Shoulder,
2,k̂up-,k̑up-,alb.,sup,"Schulter, Rücken",ohne formantisches \-t-\,,"Shoulder, back",without formative \-t-\
3,k̂up-,k̑up-,mnd.,schuft,"Vorderschulterblat einer Kuh, eines Pferdes",*skuftu-; m.,,"Front scapula of a cow, a horse",*skuftu-; masculine.
4,k̂up-,k̑up-,ostfries.,schoft,"Vorderschulterblat einer Kuh, eines Pferdes",*skuftu-,,"Front scapula of a cow, a horse",*skuftu- [UNKNOWN]
5,k̂up-,k̑up-,ndl.,schoft,"Vorderschulterblat einer Kuh, eines Pferdes",*skuftu-,,"Front scapula of a cow, a horse",*skuftu- [UNKNOWN]
0,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lat.,caenum,"Schmutz, Kot, Unflat","urbanisiert für plebejisches \*cēnum\ aus \*coinom\, \*quoinom\",,"Dirt, feces, filth","urbanized for plebeian *cēnum from *coinom, *quoinom"
1,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lat.,"obscēnus, obscaenus","schmutzig, ekelhaft, unsittlich",Rückbildung aus \*obscēnare\,,"dirty, disgusting, immoral",Rückbildung aus \*obscēnare\ [UNKNOWN]
2,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lat.,"in-, con-quināre","beschmutzen, besudeln",,,"to soil, to dirty",
3,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lat.,cūnīre,stercus facere,,,to make dung,
4,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lat.,ancunulentae,feminae menstruo tempore,,,women during their menstrual period,
5,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",schwed. dial.,hven,sumpfiges Feld,,,marshy field,
6,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",aisl.,hvein,in Ortsnamen,*k̂u̯oinā,,in place names,*k̂u̯oinā [UNKNOWN]
7,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",dän.,hvene,"agrostis, Gattungsname für mehrere steife Grasarten",als 'Sumpfgras',,"Agrostis, generic name for several stiff grass species",as 'swamp grass'
8,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",schwed.,hven,"agrostis, dünner Grashalm",,,"agrostis, thin blade of grass",
9,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",norw. dial.,hvein,"agrostis, dünner Grashalm",,,"agrostis, thin blade of grass",
10,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",mengl.,whin,Ginster,aus dän. \hvine\,,Broom,from Danish \hvine\
11,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lett.,svīnît,sich schmutzig machen,refl.,,getting dirty,refl. [UNKNOWN]
12,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",lett.,svīns,beschmutzt,,,dirty,
13,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",arm.,šiv,Bodensatz gepreßter Trauben,\*k̂u̯ī̆-u̯o-\,,Sediment of pressed grapes,*k̂u̯ī̆-u̯o- [UNKNOWN]
14,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",ags.,hwæg,Molken,viel unsicherer \*k̂u̯oio-\?,,Whey,much more uncertain *k̂u̯oio-?
15,"k̂u̯ei-1, k̂u̯ei-no-","1. k̑u̯ei-, k̑u̯ei-no-",mndl.,wey,Molken,viel unsicherer \*k̂u̯oio-\?,,Whey,much more uncertain *k̂u̯oio-?
0,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",ai.,śváñcatē,"öffnet sich, tut sich auf",,,opens up,
1,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",ai.,ucchvaŋká-,"das Aufklaffen, Lücke, Scherbe, Sichauftun",m.,,"the gap, gap, shard, to open up",m.
2,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lit.,šùkė,Scharte,f.,,notch or notch in English,f. [UNKNOWN]
3,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lit.,šùkos,Kamm,pl.,,Comb,pl. [UNKNOWN]
4,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,suka,"Bürste, Striegel",f. (wohl aus '*Kamm'),,"Brush, currycomb",f. (probably from '*comb')
5,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,suk'is,Scherbe,m.,,Shard,m.
6,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",lett.,sukums,"Lücke, Scharte",m.,,"Gap, notch",m.
,,,,,,,,,
8,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",polab.,sacė́t,"Borste, Bürste","from Slav. \*sъčetь\, f.",,"Bristle, brush","from Slav. *sъčetь, feminine."
9,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",sloven.,ščę̂t,Bürste,"from Slav. \*sъčetь\, f.",,Brush,"from Slav. *sъčetь, feminine."
10,k̂u̯ek- (nasaliert k̂u̯enk-) : k̂uk-,"k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-",russ.,ščetъ,Borste,"from Slav. \*sъčetь\, f.",,Bristle,"from Slav. *sъčetь, feminine."
0,k̂u̯el-,k̑u̯el-,arm.,šałem,"feuchte, benetzte, bereitete Mörtel",,,"moist, wetted, prepared mortar",
1,k̂u̯el-,k̑u̯el-,arm.,šałax,"Lehm, Schlamm, Mörtel",\-al-\ = \l̥\ oder \↓↓e↓↓l\,,"Clay, mud, mortar",\-al-\ = \l̥\ or \↓↓e↓↓l\
2,k̂u̯el-,k̑u̯el-,lit.,švelnùs,"weich, sanft anzufassen",,,"soft, gentle to the touch",
0,"ku̯elək- oder kelək-, kolək-","ku̯elək-, or kelək-, kolək-",ai.,kūrcá-ḥ,"Bündel, Ballen, Büschel",,,"Bundle, bale, tuft",
1,"ku̯elək- oder kelək-, kolək-","ku̯elək-, or kelək-, kolək-",lat.,culcita,"Kissen, Polster",s. __ku̯elp-2__ 'wölben',,"Cushion, padding",s. __ku̯elp-2__ 'wölben'
0,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",lat.,combrētum,"eine aromatische Pflanze, wohl eine wermutartige",,,"an aromatic plant, probably a wormwood-like one",
1,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",nir.,cuinneog,Angelica silvestris,"(Marstrander ZceltPh. 7, 359)",,Wild Angelica,"(Marstrander ZceltPh. 7, 359) [UNKNOWN]"
2,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",aisl.,huǫnn,Angelica silvestris,beruht auf \k̂u̯ondhnā\,,Wild Angelica,beruht auf \k̂u̯ondhnā\ [UNKNOWN]
3,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",dän. färö.,quander,Angelica silvestris,aus \k̂u̯ondh-nā\,,Wild Angelica,from \k̂u̯ondh-nā\
4,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",schweiz.,Wannebobbell,arum maculatum,aus \k̂u̯ondh-nā\,,arum maculatum,from \k̂u̯ondh-nā\
5,"k̂u̯endh-ro-, -no-","k̑u̯endh-ro-, -no-",lit.,šveñdrai,"eine Art Schilf, Typhalatifolia",Pl.,,"a type of reed, Typhalatifolia",Plural
0,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",ai.,kēta-,"Wille, Begierde, Absicht, Aufforderung, Einladung",,,"Will, desire, intention, request, invitation",
1,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",ai.,kētana-,"Aufforderung, Einladung",n.,,"Request, invitation",n. [UNKNOWN]
2,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",gr.,κοῖται,γυναικῶν ἐπιθυμίαι (?),Hes.,,Desires of women (?),Hes. [UNKNOWN]
3,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",gr.,κίσσα,krankhaftes Gelüst schwangerer Frauen,"*κιτι̯α, zweifelhaft",,pathological cravings of pregnant women,"*κιτι̯α, doubtful."
4,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",att. gr.,κίττα,krankhaftes Gelüst schwangerer Frauen,"*κιτι̯α, zweifelhaft",,pathological cravings of pregnant women,"*κιτι̯α, doubtful."
5,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quāits,Wille,,,Will,
6,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quoi,er will,,,he wants,
7,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",apr.,quoitīt,wollen,,,want,
8,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",lit.,kviečiù,einladen,,,to invite,
9,"ku̯oi-, ku̯ī-","ku̯oi-, ku̯ī-",lit.,kviẽsti,einladen,,,to invite,
0,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",gr.,πρῖνος,Steineiche,falls aus \*ku̯r̥s-no-s\ (?),,Holm oak,falls aus *ku̯r̥s-no-s (?)
1,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",gall.,prenne,arborem grandem,,,big tree,
2,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",cymr.,prenn,Baum,\*ku̯res-no-\,,Tree,"*ku̯res-no-"" [UNKNOWN]"
,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",corn.,prenn,Baum,\*ku̯res-no-\,,Tree,"*ku̯res-no-"" [UNKNOWN]"
3,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",bret.,prenn,Baum,\*ku̯res-no-\,,Tree,"*ku̯res-no-"" [UNKNOWN]"
4,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",air.,crann,"small wood, trees","ablautend, \*ku̯r̥s-no-\, Genitiv \cruinn\",,"small forest, trees","ablauting, *ku̯r̥s-no-, Genitive \cruinn\"
5,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",cymr.,prys (prysg),Gehölz,\*ku̯r̥s-to-\,,Woodland,"*ku̯r̥s-to-"" [UNKNOWN]"
,,,,,,,,,
7,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ags.,hyrst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
8,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",as.,horst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
9,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ahd.,horst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
10,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",mhd.,horst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
11,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ahd.,hurst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
12,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",mhd.,hurst,"Gebüsch, Gehölz","\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,"Bush, woodland","*ku̯r̥s-to-, less likely above p. 548"
13,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",nhd.,Horst,Raubvogelnest,"\*ku̯r̥s-to-\, weniger wahrscheinlich oben S. 548",,Birds of prey nest,"*ku̯r̥s-to-, less likely above p. 548"
,,,,,,,,,
15,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",ksl.,chvrastĳe,"Reisig, Strauch","slav. \*chvorstъ\ < \*ku̯ors-to-\?, mit unerklärtem Anlaut",,"Twigs, bush","slav. \*chvorstъ\ < \*ku̯ors-to-\?, with unexplained initial sound"
16,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",russ.,chvórost,"Reisig, Strauch","slav. \*chvorstъ\ < \*ku̯ors-to-\?, mit unerklärtem Anlaut",,"Twigs, bush","slav. \*chvorstъ\ < \*ku̯ors-to-\?, with unexplained initial sound"
17,"ku̯res-, ku̯ers-, ku̯r̥s-","ku̯res-, ku̯ers-, ku̯r̥s-",slov.,hrást,Eiche,"slav. \*chvorstъ\ < \*ku̯ors-to-\?, mit unerklärtem Anlaut",,Oak,"slav. \*chvorstъ\ < \*ku̯ors-to-\?, with unexplained initial sound"
0,kha kha!,kha kha,ai.,kákhati,lacht,(Gramm.),,laughs,(Gramm.)
1,kha kha!,kha kha,arm.,xaxank,Gelächter,,,Laughter,
2,kha kha!,kha kha,gr.,καχάζω,lache laut,(aus *χαχάζω),,laugh out loud,aus *χαχάζω [UNKNOWN]
3,kha kha!,kha kha,lat.,"cachinnō, -āre",hellauf lachen,,,to burst out laughing,
4,kha kha!,kha kha,lat.,cachinnus,Gelächter,,,Laughter,
5,kha kha!,kha kha,ahd.,kachazzen,laut lachen,,,to laugh out loud,
6,kha kha!,kha kha,ahd.,kichazzen,laut lachen,,,to laugh out loud,
7,kha kha!,kha kha,ags.,ceahhettan,laut lachen,,,to laugh out loud,
8,kha kha!,kha kha,aksl.,chochotati,laut lachen,,,to laugh out loud,
9,kha kha!,kha kha,lit.,kikénti,kichern,,,giggle,
10,kha kha!,kha kha,lit.,kiknóti,kichern,,,giggle,
11,kha kha!,kha kha,gr.,κηκάζω,schmähe,Ähnliche Schallwurzel kāk- 'auslachen',,disgrace,Similar root kāk- 'to laugh at'
12,kha kha!,kha kha,ahd.,huohōn,"spotten, höhnen",Ähnliche Schallwurzel kāk- 'auslachen',,"to mock, to jeer",Similar root kāk- 'to laugh at'
13,kha kha!,kha kha,as.,hōhi-līk,lächerlich,Ähnliche Schallwurzel kāk- 'auslachen',,ridiculous,Similar root kāk- 'to laugh at'
14,kha kha!,kha kha,ags.,hocor,Spott,Ähnliche Schallwurzel kāk- 'auslachen'; mit germ. -k-; n.,,Ridicule,Similar sound root kāk- 'laugh at'; with Germanic -k-; neuter.
0,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,quālum,geflochtener Korb,\*ku̯aslom\,,woven basket,\*ku̯aslom\ [UNKNOWN]
1,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,quallus,geflochtener Korb,\*ku̯aslos\,,woven basket,*\ku̯aslos\ [UNKNOWN]
2,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",lat.,"quăsillus, -um","Körbchen, Wollkörbchen","Deminutiv, mit emphatischem \-ss-\",,"Basket, wool basket","Diminutive, with emphatic \-ss-\"
3,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",abg.,košь,Korb,\*kʷas-i̯o-s\,,Basket,*kʷas-i̯o-s [UNKNOWN]
4,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",russ.,koš,"Korb, Fischreuse; Hürde",,,"Basket, fish trap; hurdle",
5,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",ksl.,košar(j)a,Hürde,,,Hurdle,
6,"kʷas-i̯o-, -lo-","ku̯as-i̯o-, -lo-",russ.,košélь,"Korb, Brotsack",,,"Basket, bread bag",
,,,,,,,,,
1,kʷem-,ku̯em-,ai.,cā́mati,schlürft,,,sips,
2,kʷem-,ku̯em-,ai.,camati,schlürft,,,sips,
3,kʷem-,ku̯em-,ai.,ācānta-,schlürft,Partiz.,,sips,Partisan.
4,kʷem-,ku̯em-,ai.,camasá-,"Trinkschale, Becher",m.,,"Drinking bowl, cup",m.
5,kʷem-,ku̯em-,ai.,camū́-,Schüssel,m.,,Bowl,m.
6,kʷem-,ku̯em-,npers.,čam,das Essen,,,the food,
7,kʷem-,ku̯em-,npers.,čamīδan,trinken,,,to drink,
8,kʷem-,ku̯em-,osset.,cumun,schlürfen,,,slurp,
9,kʷem-,ku̯em-,arm.,k'im-k',"faux, guttur",Pl.; \*kʷēmā-\,,"fake, guttural",Pl.; \*kʷēmā-\ [UNKNOWN]
10,kʷem-,ku̯em-,npers.,kām,Gaumen,Ablautstufe \ō\,,Palate,Ablaut level \ō\
11,kʷem-,ku̯em-,afghan.,kūmai,Gaumen,Ablautstufe \ō\,,Palate,Ablaut level \ō\
12,kʷem-,ku̯em-,gr.,ἔτεμεν,ἤμελγεν,Hesychius; zweifelhaft,,He was milking.,Hesychius; doubtful
13,kʷem-,ku̯em-,gr.,τέμνοντα,ἀμέλγοντα,"wohl τέμοντα; Hes., zweifelhaft; wobei ἀμέλγειν in der spätern Bed. 'Flüssiges aussaugen, auspressen' zu fassen wäre",,milking,"wohl τέμοντα; Hes., uncertain; whereby ἀμέλγειν would be understood in the later sense of 'sucking out, squeezing out'"
14,kʷem-,ku̯em-,nisl.,hvōma,"verschlucken, verschlingen","aus \*hvāma\, idg. \*kʷēmō\ = ai. \cā́mati\",,"to swallow, to devour","from *hvāma, idg. *kʷēmō = Sanskrit cā́mati"
15,kʷem-,ku̯em-,nisl.,hvōma,"Speiseröhre, Schlund",f.,,"Esophagus, throat",f. [UNKNOWN]
0,kʷene,ku̯ene,ai.,cana,irgend,"oft negativ, z. B. ai. \ná ḗkaś cana\ 'keiner'",,any,"often negative, e.g. ai. āṅkaś cana 'no one'"
1,kʷene,ku̯ene,av.,činā̆,irgend,,,any,
2,kʷene,ku̯ene,germ.,-ʒin,"(particle: uncertainty, generalization)",,,"(Particle: uncertainty, generalization)",
3,kʷene,ku̯ene,aisl.,hver-gin,keineswegs,,,by no means,
4,kʷene,ku̯ene,ags.,hwer-gin,irgendwo,aus \hwar\ 'wo' + \-gin\,,somewhere,from \hwar\ 'where' + \-gin\
5,kʷene,ku̯ene,asächs.,hwer-gin,irgendwo,aus \hwar\ 'wo' + \-gin\,,somewhere,from \hwar\ 'where' + \-gin\
6,kʷene,ku̯ene,ahd.,hwer-gin,irgendwo,aus \hwar\ 'wo' + \-gin\,,somewhere,from \hwar\ 'where' + \-gin\
7,kʷene,ku̯ene,ahd.,io-wergin,"(particle: uncertainty, generalization)",,,"(Particle: uncertainty, generalization)",
