,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
3,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",russ.,čemeríca,Nieswurz,(usw. s. Berneker 142 f.),,Hellebore,(etc. see Berneker 142 f.)
4,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",lit.,kemerai,"Alpkraut, Wasserdost",Pl.,,"Alchemilla, waterpennywort",Plural
5,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",gr.,κάμαρος,Delphinium,vermutlich,,Delphinium,presumably
6,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",gr.,κάμμαρον,aconitum,(letztere Schreibung nach hom. κάμμορος 'unglücklich'?),,aconitum,(latter spelling according to hom. κάμμορος 'unfortunate'?)
7,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",gr.,κάμμορον,aconitum,(letztere Schreibung nach hom. κάμμορος 'unglücklich'?),,aconitum,(latter spelling according to hom. κάμμορος 'unfortunate'?)
8,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",ai.,kamala,Lotus,n. (wäre bis aufs Geschlecht = ahd. \hemera\; auch in der Blütenform ähnlich),,Lotus,n. (would be regardless of gender = OHG \hemera\; also similar in floral form)
9,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",ai.,camarika,Bauhinia variegata,m.,,Bauhinia variegata,m.
0,k̂en-,k̑en-,arm.,sin,"leer, eitel",,,"empty, vain",
1,k̂en-,k̑en-,gr. hom.,κενε[ϝ]ός,"leer, eitel",,,"empty, vain",
2,k̂en-,k̑en-,gr. kypr.,κενευϝός,"leer, eitel",,,"empty, vain",
3,k̂en-,k̑en-,gr. ion.,κεινός,"leer, eitel",(*κενϝός),,"empty, vain",(*κενϝός) [UNKNOWN]
4,k̂en-,k̑en-,gr. att.,κενός,"leer, eitel",,,"empty, vain",
0,kenth(o)-,kenth(o)-,ai.,kanthā,geflicktes Kleid,,,mended dress,
1,kenth(o)-,kenth(o)-,arm.,k'ot'anak,"Kleid, Decke",,,"Dress, blanket",
2,kenth(o)-,kenth(o)-,gr.,κέντρων,"Rock aus Lumpen, Flickpoem",Bedeutungslehnw. aus dem Lat.,,"Rock made of rags, patchwork poem",Loanword meaning from Latin.
3,kenth(o)-,kenth(o)-,lat.,centō,"aus Lappen zusammengenähtes Kleid oder Decke, Flickwerk",,,"dress or blanket sewn from rags, patchwork",
4,kenth(o)-,kenth(o)-,ahd.,hadara,"Lappen, Lumpen","ohne Nasal (*haþrō, idg. *kotrā)",,"Rag, rags","without nasal (*haþrō, idg. *kotrā)"
5,kenth(o)-,kenth(o)-,nhd.,Hadern,Hadern,ohne Nasal,,Paper pulp,without nasal
6,kenth(o)-,kenth(o)-,mhd.,Hadel,Hadern,mit l-Ableitung,,Paper pulp,with l-derivation
7,kenth(o)-,kenth(o)-,nhd. dial.,Hudel,Hadern,"ablaut., davon \hudeln\ 'schmieren'",,Paper pulp,"ablaut., from which \hudeln\ 'smear'"
,kenth(o)-,kenth(o)-,nhd. dial.,hudeln,schmieren,,,to spread or smear,
0,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lit.,"kariù, kárti",mit einem Strick erhängen,,,hang oneself with a rope,
,,,,,,,,,
2,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lett.,"kar'u, kãrt",hängen,,,hang,
,,,,,,,,,
4,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lit.,pakara,"Kleiderständer, Pflock zum Kleideraufhängen",,,"Clothes stand, peg for hanging clothes",
5,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lett.,pakars,Haken zum Aufhängen,,,Hooks for hanging,
6,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",apr.,paccaris,Riemen,,,Belt,
7,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lit.,pakorė̃,Galgen,,,Gallows,
8,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",lit.,prã-kartas,Krippe,vielleicht wenn ursprüngl. 'vorgehängter Futtersack',,Nursery,vielleicht wenn ursprüngl. 'vorgehängter Futtersack'
9,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",apr.,pracartis,Trog,vielleicht wenn ursprüngl. 'vorgehängter Futtersack',,Trough,vielleicht wenn ursprüngl. 'vorgehängter Futtersack'
10,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",gr.,κρεμάννυμι,hänge,dazu vielleicht als Erweiterung *krem(ə)-,,hang,perhaps as an extension *krem(ə)-
11,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",gr.,κρίμνημι,hänge,"neben κρήμνημι, siehe Specht KZ 59, 97",,hang,"neben κρήμνημι, see Specht KZ 59, 97"
12,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",gr.,κρέμαμαι,hange,,,hange,
13,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",gr.,κρεμάθρᾱ,Hängematte,,,Hammock,
14,"(ker-5?), kō̆r-","5. ker-?, kō̆r-",gr.,κρημνός,Abhang,schwundstufig,,Slope,dwindling stage
0,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,karaṭa-,`dunkelrot',(?),,dark red,(?) [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kuruṅgá-,`Antilope',m.,,Antelope,m.
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kuluṅgá-,`Antilope',m.,,Antelope,m.
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kirmira-,`bunt',,,colorful,
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kárīṣa-,"`Auswurf, Dünger'",n.,,"Ejection, fertilizer",n. [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kardama-,"`Schlamm, Schmutz, Dünger'",m.,,"Mud, dirt, fertilizer",m.
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,kalka-,"`Kot, Dreck'",m.,,"Poop, dirt",m.
,ker-6 und k̂er-,"6. ker-, and k̑er-",ai.,karka-,`weiß',(: mir. corcach),,white,(: mir. corcach) [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",npers.,cardeh,`schwärzlich',,,somewhat black,
,ker-6 und k̂er-,"6. ker-, and k̑er-",npers.,kari,`Schmutz',,,`Dirt',
,ker-6 und k̂er-,"6. ker-, and k̑er-",npers.,karah,`Schmutz',,,`Dirt',
,ker-6 und k̂er-,"6. ker-, and k̑er-",pehl.,karic,`Mist',,,Damn,
,ker-6 und k̂er-,"6. ker-, and k̑er-",gr.,κόρυζα,"`Schnupfen, Rotz'",,,"Sniffles, snot",
,ker-6 und k̂er-,"6. ker-, and k̑er-",gr.,κορύναι,μύξαι,Hes.,,Mucus,Hes. [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",gr.,καρυμόν,μέλαν,Hes.,,black,Hes. [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",gr.,κροῦμαι,μύξαι,Hes.,,Mucus,Hes. [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",,,,,ChatGPT missed a ton of forms here,,
1,ker-6 und k̂er-,"6. ker-, and k̑er-",lat.,carbō,"dirty, dark-colored, etc.",s. oben unter 3. __ker-__,refers to another root; not related,"dirty, dark-colored, etc.",see above under 3. __ker-__
2,ker-6 und k̂er-,"6. ker-, and k̑er-",mir.,corcach,Sumpf',"(: ai. \kalka-\, \karka-\, s. oben)",,Swamp,"(: ai. \kalka-\, \karka-\, see above)"
3,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,horo,"Kot, Schmutz'",Gen. \horawes\; kr̥-u-,,"Excrement, dirt",Gen. \horawes\; kr̥-u- [UNKNOWN]
,,,,,,,,,
5,ker-6 und k̂er-,"6. ker-, and k̑er-",mhd.,hor,"Kot, Schmutz'",\hurwe\; kr̥-u-,,"Excrement, dirt",\hurwe\; kr̥-u- [UNKNOWN]
,,,,,,,,,
7,ker-6 und k̂er-,"6. ker-, and k̑er-",ags.,horh,schmutzig',Gen. \horwes\; \*kr̥-k-u̯-o\,,dirty,Gen. \horwes\; \*kr̥-k-u̯-o\ [UNKNOWN]
8,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,horg,schmutzig',\*kr̥-k-u̯-o\,,dirty,*kr̥-k-u̯-o [UNKNOWN]
9,ker-6 und k̂er-,"6. ker-, and k̑er-",aisl.,horr,"Nasenschleim, Schmutz'",m.,,"Nasal mucus, dirt",m.
10,ker-6 und k̂er-,"6. ker-, and k̑er-",ags.,hrot,Rotz',m.,,Snot,m.
11,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,hroz,Rotz',,,Snot,
12,ker-6 und k̂er-,"6. ker-, and k̑er-",asächs.,hrottag,rotzig',,,snotty,
13,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,ruoz,Ruß',,,Soot,
14,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,rouz,Ruß',,,Soot,
15,ker-6 und k̂er-,"6. ker-, and k̑er-",mhd.,ruoz,Ruß',,,Soot,
16,ker-6 und k̂er-,"6. ker-, and k̑er-",mhd.,ruost,Ruß',,,Soot,
17,ker-6 und k̂er-,"6. ker-, and k̑er-",asächs.,hrot,Ruß',,,Soot,
18,ker-6 und k̂er-,"6. ker-, and k̑er-",ags.,hrum,Ruß',,,Soot,
19,ker-6 und k̂er-,"6. ker-, and k̑er-",asächs.,hrum,Ruß',,,Soot,
20,ker-6 und k̂er-,"6. ker-, and k̑er-",mhd. PN,Rum-olt,Ruß',,,Soot,
21,ker-6 und k̂er-,"6. ker-, and k̑er-",arm.,saṙn,Eis',Gen. \saṙin\,"General note: ""mit Palatal im Anlaut""",Ice,Gen. \saṙin\ [UNKNOWN]
22,ker-6 und k̂er-,"6. ker-, and k̑er-",arm.,saṙnum,gefriere',,,freeze,
23,ker-6 und k̂er-,"6. ker-, and k̑er-",ven.-illyr. PN,Carmō,PN,(Steiermark),,Private message,(Steiermark) [UNKNOWN]
24,ker-6 und k̂er-,"6. ker-, and k̑er-",rätoroman.,carmún,Wiesel',s. unten \k̂or-men-\,,Weasel,see below \k̂or-men-\
25,ker-6 und k̂er-,"6. ker-, and k̑er-",alb.,thjer-më,grau',(k̂er-u̯o- mit sekundärem -më),,gray,(k̂er-u̯o- with secondary -më)
26,ker-6 und k̂er-,"6. ker-, and k̑er-",alb.,per-thjerm,blaßblau',(k̂er-u̯o- mit sekundärem -më),,pale blue,(k̂er-u̯o- with secondary -më)
27,ker-6 und k̂er-,"6. ker-, and k̑er-",alb.,i surmë,aschfarben',(k̂↓↓o↓↓r-mo-); s. Jokl Mél. Pedersen 153 ff.,,ashen-colored,(k̂↓↓o↓↓r-mo-); see Jokl Mél. Pedersen 153 ff.
28,ker-6 und k̂er-,"6. ker-, and k̑er-",aisl.,hjarn,gefrorener Schnee',"n.; (: arm. \saṙn\, slav. \*sernъ\)",,frozen snow,"n.; (: arm. \saṙn\, slav. \*sernъ\)"
29,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,hornunc,Februar',,,February,
30,ker-6 und k̂er-,"6. ker-, and k̑er-",nhd.,Hornung,Februar',,,February,
31,ker-6 und k̂er-,"6. ker-, and k̑er-",ahd.,harmo,Hermelin',(: ven.-illyr. \Carmō\),,Ermine,(: ven.-illyr. \Carmō\) [UNKNOWN]
32,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šir̃vas,"grau, blaugrau'",(\*k̂r̥-u̯o-s\),,"gray, blue gray",(*k̂r̥-u̯o-s) [UNKNOWN]
33,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šir̃mas,"grau, blaugrau'",(\*k̂r̥-mo-s\),,"gray, blue gray",(\*k̂r̥-mo-s\) [UNKNOWN]
34,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,sirms,grau',"vgl. ai. \śyā-má-\ 'schwarz, dunkel' neben \śyā-vá-\ ds.",,gray,"cf. Sanskrit \śyā-má-\ 'black, dark' alongside \śyā-vá- etc."
35,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šir̃vis,Hase',,,Bunny,
36,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šarmà,Reif',f.,,Ripe',f. [UNKNOWN]
37,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,"sarma, serma",Reif',,,Ripe',
38,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,"šarmuõ, šermuõ",Hermelin',"(:ahd. harmo, ven.-illyr. \Carmō\)",,Ermine,"(:ahd. harmo, ven.-illyr. \Carmō\) [UNKNOWN]"
39,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šarmuonỹs,Wiesel',,,Weasel,
,ker-6 und k̂er-,"6. ker-, and k̑er-",ostlit.,širmuonė̃lis,Wiesel',mit Ablaut,,Weasel,with ablaut
40,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,sermulis,Hermelin',,,Ermine,
41,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šer̃kšnas,"weißgrau, schimmlig'",(neben \šer̃kštas\),,"white-gray, moldy",(next to \šer̃kštas\)
42,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šer̃knas,Reif',,,Ripe',
43,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,šir̃kšnas,Reif',ablaut. ,,Ripe',ablaut. [UNKNOWN]
44,ker-6 und k̂er-,"6. ker-, and k̑er-",lit.,širsňĳa širšnyti,`sich mit Reif bedecken',,,to become covered with frost,
45,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,"serns, serksns","m., auch sersni m. Plur., sersna f. 'Reif'' und serstu laiks 'Zeit, da der Schnee trägt'",,,"m., also sersni m. Plur., sersna f. 'frost' and serstu laiks 'time when the snow bears'",
45,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,sersni,Reif',m. Plur.,,Ripe',masculine plural.
,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,sersna,Reif',f.,,Ripe',f. [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",lett.,serstu laiks,"Zeit, da der Schnee trägt'",,,Time when the snow carries,
46,ker-6 und k̂er-,"6. ker-, and k̑er-",russ.-ksl.,srěnъ,ποικίλος'," ,  und als m. , russ. ,  'Reif'",,polychrome,", and as m. , Russian , 'ripe'"
,ker-6 und k̂er-,"6. ker-, and k̑er-",aruss.,serenyj,weiß' (von Pferden),urslav. *sernъ,,know (about horses),urslav. *sernъ [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",sloven.,"srė̂n, srė̂nj","Raureif, gefrorene Schneerinde'",m.; urslav. *sernъ,,"Hoarfrost, frozen snow crust.",m.; Proto-Slavic *sernъ
,ker-6 und k̂er-,"6. ker-, and k̑er-",russ.,serën,gefrorener Schnee',urslav. *sernъ,,frozen snow,urslav. *sernъ [UNKNOWN]
,ker-6 und k̂er-,"6. ker-, and k̑er-",poln.,szron,Reif,(älter srzon) urslav. *sernъ; aisl. hjarn,,Mature,(older srzon) urslav. *sernъ; Old Norse hjarn
0,k̂er-3,3. k̑er-,arm.,sari-k',"Band, Schnur","Gen. \sareac̣\, Instr. \sareōc̣\; *k̂↓↓e↓↓rei̯ā",,"Ribbon, string","Gen. \sareac̣\, Instr. \sareōc̣\; *k̂↓↓e↓↓rei̯ā [UNKNOWN]"
1,k̂er-3,3. k̑er-,arm.,sard,Spinne,i-St. \*k̂r̥-ti-\,,Spider,i-St. \*k̂r̥-ti-\ [UNKNOWN]
2,k̂er-3,3. k̑er-,gr.,καῖρος,Schnüre beim Anbinden des Gewebes,"σειρά τις ἐν ἱστῷ, δι' ἦς οἱ στήμονες διεγείρονται · Phot.; *k̂↓↓e↓↓ri̯-os",,Strings when tying the fabric.,"σειρά τις ἐν ἱστῷ, δι' ἦς οἱ στήμονες διεγείρονται · Phot.; *k̂↓↓e↓↓ri̯-os [UNKNOWN]"
,,,,,,,,,
4,k̂er-3,3. k̑er-,gr.,καίρωμα,Schnüre beim Anbinden des Gewebes; Gewebe,,,Strings for tying the fabric; fabric,
5,k̂er-3,3. k̑er-,gr.,καιρόω,binde das Gewebe zusammen,,,bind the fabric together,
6,k̂er-3,3. k̑er-,gr.,κειρία,der Gurt des Bettgestelles,hochstufig,,the strap of the bed frame,high-level
7,k̂er-3,3. k̑er-,gr.,κειρία,Grabtücher,"Pl. (NT.); die Formen κηρία, καιρία s. Liddell-Scott; die Bed. `Grabtücher' durch Anschluß an κήρ `Todesgöttin'?",,Burial shrouds,"Pl. (neuter); the forms κηρία, καιρία see Liddell-Scott; the meaning 'burial shrouds' by connection to κήρ 'goddess of death'?"
,,,,,,,,,
,,,,,,,,,
0,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",ai.,śárvara-,"bunt, scheckig",,,"colorful, mottled",
1,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",ai.,śárvarī,"Tier der Maruts, Nacht","\v\ steht für \b\, vgl. Wackernagel Ai. Gr. I 184",,"Animal of the Maruts, night","\v\ stands for \b\, see Wackernagel Ai. Gr. I 184"
2,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",ai.,"śabála-, śabára-","bunt, scheckig","diss. Schwund des ersten \r\ (daneben \karbará-\, \karvará-\, \kabara-\, \karbura-\, \karbu-\ ds.)",,"colorful, mottled","dissolving of the first \r\ (besides \karbará-\, \karvará-\, \kabara-\, \karbura-\, \karbu-\ etc.)"
,,,,,,,,,
4,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",gr.,Κέρβερος,der Scheckige,ursprüngl.; vgl. die mythologische Wendung von ai. \śarvarī\,,The spotty one,ursprüngl.; vgl. die mythologische Wendung von ai. \śarvarī\
5,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",slav.,sobolь,Zobel,scheint aus dem Arischen zu stammen,,Mink,seems to originate from the Aryan [UNKNOWN]
6,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",air.,corbaim,"besudle, beflecke",Die Wz. \kerb-\ sucht Lidén Stud. 50 f. und betrachtet *kerb- als Erweiterung der Farbwz. ker- (s. S. 583 kers-); Mühlenbach-Endzelin II 383,,"besmirch, stain",The root \kerb-\ seeks Lidén Stud. 50 f. and considers *kerb- as an extension of the color root ker- (see p. 583 kers-); Mühlenbach-Endzelin II 383
7,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",lit.,kìrba,"Sumpf, Morast",Die Wz. \kerb-\ sucht Lidén Stud. 50 f. und betrachtet *kerb- als Erweiterung der Farbwz. ker- (s. S. 583 kers-); Mühlenbach-Endzelin II 383,,"Swamp, marsh",The root \kerb-\ seeks Lidén Stud. 50 f. and considers *kerb- as an extension of the color root ker- (see p. 583 kers-); Mühlenbach-Endzelin II 383
8,k̂erbero- und kerbero-,"k̑erbero-, and kerbero-",lett.,ḱirba,"Sumpf, Morast",from lit. \kìrba\,,"Swamp, marsh",from lit. \kìrba\ [UNKNOWN]
0,kerd-1,1. kerd-,air.,fo-cridigedar,accingat,,,may he/she/it prepare,
1,kerd-1,1. kerd-,air.,cri(u)ss,Gürtel,*kr̥d-su-,,Belt,*kr̥d-su- [UNKNOWN]
2,kerd-1,1. kerd-,mir.,fo-chrus,Gürtung,,,Belting,
3,kerd-1,1. kerd-,cymr.,crys,"Gürtel, Hemd",,,"Belt, shirt",
4,kerd-1,1. kerd-,cymr.,gwregys,Gürtel,fur \*gwe-grys\ aus \*gwo-grys\,,Belt,for *gwe-grys* from *gwo-grys*
5,kerd-1,1. kerd-,acorn.,kreis,Hemd,,,Shirt,
6,kerd-1,1. kerd-,acorn.,grugis,Gürtel,,,Belt,
7,kerd-1,1. kerd-,bret.,krez,Hemd,,,Shirt,
8,kerd-1,1. kerd-,bret.,gouriz,Gürtel,,,Belt,
9,kerd-1,1. kerd-,russ.,čéres,Geldgurt,"neben \čérez\, das \z\ durch Einfluß der Präp. \črěz\ hat",,Money belt,"neben \čérez\, das \z\ durch Einfluß der Präp. \črěz\ hat"
10,kerd-1,1. kerd-,klr.,čéres,"lederner, breiter Gürtel, Geldkatze",,,"Leather, wide belt, money wallet",
11,kerd-1,1. kerd-,poln.,trzos,"Geldgurt, Geldkatze",,,"Money belt, money pouch",
12,kerd-1,1. kerd-,notes,,,vielleicht eine Erweiterung von (s)ker- 'drehen',general note,,perhaps an extension of (s)ker- 'to turn'
0,"kerəp-, krēp-","kerəp-, krēp-",lat.,carpisculum,Art Schuhwerk,"erst bei Vopiscus und fremder Herkunft verdächtig wie das ähnliche \carpatinus\ aus gr. καρβάτινος 'aus Leder', καρβατίνη 'Lederschuh'",,Kind of footwear,"first suspicious only with Vopiscus and of foreign origin like the similar ""carpatinus"" from Greek καρβάτινος 'made of leather', καρβατίνη 'leather shoe'"
1,"kerəp-, krēp-","kerəp-, krēp-",air.,cairem,Schuhmacher,"\*kariamos\, idg. \*ker[ə]p-\",,Cobbler.,"\*kariamos\, idg. \*ker[ə]p- [UNKNOWN]"
2,"kerəp-, krēp-","kerəp-, krēp-",cymr.,crydd,Schuhmacher,"\*cerýdd\, kelt. \*karíjos\",,Cobbler.,"cerýdd, Celtic *karíjos [UNKNOWN]"
3,"kerəp-, krēp-","kerəp-, krēp-",acorn.,chereor,Schuhmacher,,,Cobbler.,
4,"kerəp-, krēp-","kerəp-, krēp-",bret.,kere,Schuhmacher,,,Cobbler.,
5,"kerəp-, krēp-","kerəp-, krēp-",bret.,kereour,Schuhmacher,,,Cobbler.,
6,"kerəp-, krēp-","kerəp-, krēp-",aisl.,hriflingr,Schuh,,,Shoe,
7,"kerəp-, krēp-","kerəp-, krēp-",ags.,hrifeling,Schuh,,,Shoe,
8,"kerəp-, krēp-","kerəp-, krēp-",lit.,kùrpė,Schuh,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/",,Shoe,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/ [UNKNOWN]"
9,"kerəp-, krēp-","kerəp-, krēp-",lett.,kur̃pe,Schuh,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/",,Shoe,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/ [UNKNOWN]"
10,"kerəp-, krēp-","kerəp-, krēp-",apr.,kurpe,Schuh,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/",,Shoe,"/*kūrpi̯ā/, idg. /*k↓↓o↓↓rəp-/ [UNKNOWN]"
11,"kerəp-, krēp-","kerəp-, krēp-",aksl.,krъpa,"textura, Lappen",,,"texture, cloth",
12,"kerəp-, krēp-","kerəp-, krēp-",aksl.,"is-krъpiti, -ati",ausflicken,,,patch up or mend,
13,"kerəp-, krēp-","kerəp-, krēp-",bulg.,kъ́rpa,"Lappen, Tuch; Flicken",,,"Rag, cloth; patch",
14,"kerəp-, krēp-","kerəp-, krēp-",serb.,kȑpa,"Fleck, Stuck Leinwand",,,"Spot, stucco canvas",
15,"kerəp-, krēp-","kerəp-, krēp-",serb.,kȑplje,Schneeschuh,mit der Bed. 'Schuh',,Snowshoe,with the meaning 'shoe'
16,"kerəp-, krēp-","kerəp-, krēp-",poln.,kierpce,Art Beschuhung,mit der Bed. 'Schuh',,Type of shoeing,with the meaning 'shoe'
17,"kerəp-, krēp-","kerəp-, krēp-",čech.,krpec,Bastschuh,mit der Bed. 'Schuh',,Bast shoe,with the meaning 'shoe'
