,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
3,g̑hu̯en-,russ.-ksl.,zvьnju,"klingen, tönen",,,"sound, resonate",
4,g̑hu̯en-,russ.-ksl.,zvьně́ti,"klingen, tönen",,,"sound, resonate",
5,g̑hu̯en-,russ.,zvenětь,"klingen, tönen",,,"sound, resonate",
6,g̑hu̯en-,ačech.,zvnieti,"klingen, tönen",,,"sound, resonate",
7,g̑hu̯en-,čech.,zníti,"klingen, tönen",,,"sound, resonate",
8,g̑hu̯en-,altpoln.,wznieć,"klingen, tönen",,,"sound, resonate",
9,g̑hu̯en-,aksl.,zvonъ,Ton,ablautend,,Sound,showing ablaut
10,g̑hu̯en-,sl.,zvộn,Glocke,,,Bell,
11,g̑hu̯en-,bulg.,zvъnъ,"Klang, Schall",,,"Sound, resonance",
12,g̑hu̯en-,bulg.,zvъnecъ,Glocke,,,Bell,
13,g̑hu̯en-,skr.,zvȍno,to sound,,,zu klingen,
14,g̑hu̯en-,russ. čech.,zvon,to sound,,,zu klingen,
15,g̑hu̯en-,poln.,dzwon,"Schall, Glocke",,,"Sound, bell",
16,g̑hu̯en-,lit.,"žvéngiu, žvéngti",wiehern,baltoslav. Wurzelerweiterung ĝhu̯eng-,,neigh,baltoslav. root extension ĝhu̯eng-
,,,,,,,,
18,g̑hu̯en-,lit.,"su-žviǹgu, -žvìngti",in Wiehern ausbrechen,baltoslav. Wurzelerweiterung ĝhu̯eng-,,to break out in neighing.,baltoslav. root extension ĝhu̯eng-
,,,,,,,,
20,g̑hu̯en-,lit.,žvangùs,"laut, schallend",baltoslav. Wurzelerweiterung ĝhu̯eng-,,"loud, resounding",baltoslav. root extension ĝhu̯eng-
21,g̑hu̯en-,lit.,"žvángu, žvangė́ti","rasseln, klingen, klirren",baltoslav. Wurzelerweiterung ĝhu̯eng-,,"rattle, ring, clink",baltoslav. root extension ĝhu̯eng-
,,,,,,,,
23,g̑hu̯en-,lett.,zvìegt,wiehern,baltoslav. Wurzelerweiterung ĝhu̯eng-,,neigh,baltoslav. root extension ĝhu̯eng-
24,g̑hu̯en-,aksl.,zvęgǫ,verkünde,baltoslav. Wurzelerweiterung ĝhu̯eng-,,announce,baltoslav. root extension ĝhu̯eng-
25,g̑hu̯en-,russ.-ksl.,zvjagu,"singe, schwatze",baltoslav. Wurzelerweiterung ĝhu̯eng-,,"sing, chat",baltoslav. root extension ĝhu̯eng-
26,g̑hu̯en-,russ. dial.,zvjagù,to sound,baltoslav. Wurzelerweiterung ĝhu̯eng-,,zu klingen,baltoslav. root extension ĝhu̯eng-
27,g̑hu̯en-,russ. dial.,zvjačь,bellen,baltoslav. Wurzelerweiterung ĝhu̯eng-,,to bark,baltoslav. root extension ĝhu̯eng-
28,g̑hu̯en-,aksl.,zvękъ,Klang,slav. Wurzelerweiterung ĝhu̯enk-,,Sound,slavic root extension ĝhu̯enk-
29,g̑hu̯en-,aksl.,zvęknǫti,tönen,slav. Wurzelerweiterung ĝhu̯enk-,,to tone,slavic root extension ĝhu̯enk-
30,g̑hu̯en-,aksl.,zvęcati,rufen,slav. Wurzelerweiterung ĝhu̯enk-,,call or shout,slavic root extension ĝhu̯enk-
31,g̑hu̯en-,skr.,zvêk,Klang,slav. Wurzelerweiterung ĝhu̯enk-,,Sound,slavic root extension ĝhu̯enk-
32,g̑hu̯en-,poln.,zwięk,"Klang, Schall",slav. Wurzelerweiterung ĝhu̯enk-,,"Sound, resonance",slavic root extension ĝhu̯enk-
33,g̑hu̯en-,poln.,dźwięk,"Klang, Schall",slav. Wurzelerweiterung ĝhu̯enk-,,"Sound, resonance",slavic root extension ĝhu̯enk-
34,g̑hu̯en-,aksl.,zvǫkъ,Klang,"slav. Wurzelerweiterung ĝhu̯enk-, ablautend",,Sound,"Slavic root extension ĝhu̯enk-, ablauting"
35,g̑hu̯en-,russ.,zvuk,"Ton, Laut, Schall",slav. Wurzelerweiterung ĝhu̯enk-,,"Sound, volume, noise",slavic root extension ĝhu̯enk-
36,g̑hu̯en-,čech.,zvuk,"Ton, Laut, Schall",slav. Wurzelerweiterung ĝhu̯enk-,,"Sound, volume, noise",slavic root extension ĝhu̯enk-
37,g̑hu̯en-,bulg.,zvъntja,"schallen, klingen",slav. Wurzelerweiterung ĝhu̯ent-,,"resound, ring",slav. root extension ĝhu̯ent-
0,"g̑hu̯ōku̯-, g̑hu̯əku̯-",gr.,διαφάσσειν,διαφαίνειν,Hes.,,to make evident or reveal,Hes. [UNKNOWN]
,,,,,,,,
2,"g̑hu̯ōku̯-, g̑hu̯əku̯-",gr.,φώψ,φάος,Hes.,,light,Hes. [UNKNOWN]
,,,,,,,,
4,"g̑hu̯ōku̯-, g̑hu̯əku̯-",gr.,παραι-φάσσει,τινάσ-σει,Hes.,,it will throw you,Hes. [UNKNOWN]
,,,,,,,,
6,"g̑hu̯ōku̯-, g̑hu̯əku̯-",gr.,παιφάσσω,"bewege mich schnell, zucke (*funkle)",redupliziert,,"move quickly, twitch (*sparkle)",reduplicated
7,"g̑hu̯ōku̯-, g̑hu̯əku̯-",lat.,"fax, facis",Fackel; Anstifter,alt \facēs; f.,,Torch; Instigator,alt \facēs; feminine
,,,,,,,,
,,,,,,,,
10,"g̑hu̯ōku̯-, g̑hu̯əku̯-",lat.,facula,Fackel,Demin.,,Torch,Demin. [UNKNOWN]
11,"g̑hu̯ōku̯-, g̑hu̯əku̯-",lat.,facētus,"elegant, witzig",,,"elegant, witty",
12,"g̑hu̯ōku̯-, g̑hu̯əku̯-",lat.,"facētia, -ae",witzige Einfälle,,,funny ideas,
,,,,,,,,
14,"g̑hu̯ōku̯-, g̑hu̯əku̯-",lit.,žvãkė,Kerze,,,Candle,
0,"īl-, īlu-",gr.,"ἰλύ̄ς, -ύος","Schlamm, Kot",f.,,"Mud, feces",f. [UNKNOWN]
,"īl-, īlu-",gr.,εἰλύ,μέλαν,Hes. (d. i. ἰλύ),,black,Hes. (i.e. ἰλύ) [UNKNOWN]
1,"īl-, īlu-",lett.,īls,stockfinster,\*īlus,,pitch black,"\*īlus"" [UNKNOWN]"
2,"īl-, īlu-",aksl.,ilъ,lutum,,,clay,
3,"īl-, īlu-",russ.,ił,Schlamm,Gen. \íła,,Mud,Gen. \íła [UNKNOWN]
4,"īl-, īlu-",čech.,jíl,"Schlamm, Lehm, Ton",,,"Mud, clay, clay",
5,"īl-, īlu-",poln.,"ił, jeł","Letten, Ton",,,"Lithuanians, sound",
6,"īl-, īlu-",russ.,jeléс,,Gen. \jelcá; wozu vielleicht der Name des im Schlamm lebenden Weißfisches (Squalius vulgaris),,,Gen. \jelcá; wozu vielleicht der Name des im Schlamm lebenden Weißfisches (Squalius vulgaris)
7,"īl-, īlu-",čech.,"jelec, jilec",,wozu vielleicht der Name des im Schlamm lebenden Weißfisches (Squalius vulgaris),,,what is perhaps the name of the white fish (Squalius vulgaris) living in the mud
8,"īl-, īlu-",poln.,jelec,,wozu vielleicht der Name des im Schlamm lebenden Weißfisches (Squalius vulgaris),,,what is perhaps the name of the white fish (Squalius vulgaris) living in the mud
9,"īl-, īlu-",nsorb.,jalica,,zum Anlautswechsel vgl. unten __īli-__ 'Weichen',,,"with regard to initial sound change, see below __īli-__ 'deviate'"
0,i̯agh-,ahd.,jagōn,jagen,,,hunting,
1,i̯agh-,holl.,jagen,jagen,,,hunting,
2,i̯agh-,nhd.,jagen,jagen,,,hunting,
3,i̯agh-,mhd.,jaget,Jagd,*jagōþ,,Hunting,*jagōþ [UNKNOWN]
4,i̯agh-,nhd.,Jagd,Jagd,,,Hunting,
5,i̯agh-,mnd.,jacht,Jagd,,,Hunting,
6,i̯agh-,holl.,jacht,Jagd,,,Hunting,
7,i̯agh-,ai.,yahú-,"rastlos, rasch dahinschießend","vielleicht nach Graßmann Wb. 1001; Bei den nicht ganz geklärten Bedeutungsverhältnissen von yahú-, yahvá- etwas zweifelhafter Ansatz",,"restless, rapidly shooting along","perhaps according to Graßmann Wb. 1001; in the not entirely clarified meaning relationships of yahú-, yahvá- somewhat doubtful approach"
8,i̯agh-,ai.,yahvá-,"rastlos, rasch dahinschießend","Bei den nicht ganz geklärten Bedeutungsverhältnissen von yahú-, yahvá- etwas zweifelhafter Ansatz",,"restless, rapidly shooting along","With the not completely clarified semantic relationships of yahú-, yahvá- a somewhat questionable approach [UNKNOWN]"
9,i̯agh-,ai.,yahvī́,"rastlos, rasch dahinschießend (von Flüssen)","aber \sáhasō \yahúḥ 'Sohn der Kraft', wobei der Begriff 'Kind, Sohn' wohl aus 'der muntere, bewegliche' entwickelt sei",,"restless, quickly rushing (of rivers)","but \sáhasō \yahúḥ 'Son of strength', whereby the concept 'child, son' is likely derived from 'the brisk, agile'"
10,i̯agh-,av.,yazuš puϑrō,der jüngste Sohn,jedenfalls entspricht der letzteren Verwendung,,the youngest son,"in any case, it corresponds to the latter usage"
,,,,,,,,
12,i̯agh-,av.,yezivī dugədrąm,die jüngste der Töchter,Bartholomae Airan. Wb. 1280,,the youngest of the daughters,Bartholomae Airan. Wb. 1280 [UNKNOWN]
13,i̯agh-,ai.,(pra-)yakṣati,"dringt vor, eilt, strebt",,,"pushes forward, hurries, strives",
14,i̯agh-,ai.,yakṣin-,"eifrig, lebendig","nach Graßmann 'verfolgend, rächend'",,"eager, lively","according to Graßmann 'pursuing, avenging'"
15,i̯agh-,ai.,yakṣya-,"rührig, schnell züngelnd",s-Bildungen zum vorigen,,"active, fast-tongued",s-formations to the previous
0,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",gr.,ἄμη,"Schaufel, Hacke",,,"Shovel, hoe",
1,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",gr.,δι-αμάω,"grabe auf, scharre auf",,,"dig up, scratch up",
2,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",gr.,ἐξαμάω,grabe aus,,,dig out,
3,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",gr.,ἀμάρᾱ,"Graben, Kanal, Furche",,,"Trench, canal, furrow",
4,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",gr.,ἀμαρεύω,bewässere,,,water,
5,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",aksl.,jama,Grube,ursprünglich Anlaut j- erwiesen durch das Abg. und durch das dial. russ.,,Pit/Mine,originally initial sound j- proven by the Old High German and by the dialectal Russian.
6,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",abg.,ńama,,"erwachsen aus *vъn-jamě, *jamǫ",,,"grown from *vъn-jamě, *jamǫ"
7,"i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-",dial. russ.,ńama,,"erwachsen aus *vъn-jamě, *jamǫ",,,"grown from *vъn-jamě, *jamǫ"
0,iēlo- : i̯əlo-,gall.,-ialo-,Lichtung,"oft in ON, wie \Nanto-ialo-, frz. \Nanteuil 'Tal-Lichtung', usw.",,Clearing,"often in ON (Old Norse), such as \Nanto-ialo-, French \Nanteuil 'valley clearing', etc."
1,iēlo- : i̯əlo-,cymr.,ial,Lichtung,ON \Ial (J. Loth Mabinogion^^2^^ II 356),,Clearing,ON \Ial (J. Loth Mabinogion^^2^^ II 356) [UNKNOWN]
2,iēlo- : i̯əlo-,cymr.,an-ial,Einöde,,,Desolation/Barren land,
3,iēlo- : i̯əlo-,lett.,jêls,"unreif, unbearbeitet, roh, wund (von der Haut)",,,"immature, unprocessed, raw, sore (from the skin)",
,,,,,,,,
,,,,,,,,
6,iēlo- : i̯əlo-,russ.,jáłyj,"unfruchtbar, unbearbeitet (vom Lande)",slav. *jalъ,,"infertile, uncultivated (from the countryside)",slav. *jalъ [UNKNOWN]
7,iēlo- : i̯əlo-,russ.,jáłovyj,"unfruchtbar, unbearbeitet (vom Lande)",slav. *jalovъ,,"infertile, uncultivated (from the countryside)",slav. *jalovъ [UNKNOWN]
8,iēlo- : i̯əlo-,serb.,jȁlov,"unfruchtbar, gelt",slav. *jalovъ,,"infertile, valid",slav. *jalovъ [UNKNOWN]
9,iēlo- : i̯əlo-,čech.,jalový,"unfruchtbar, gelt",slav. *jalovъ,,"infertile, valid",slav. *jalovъ [UNKNOWN]
10,iēlo- : i̯əlo-,poln.,jałowizna,"leere, wüste Stelle",slav. *jalovъ,,"empty, desolate spot",slav. *jalovъ [UNKNOWN]
0,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",ai.,yā́tar-,die Frau des Bruders des Gatten,Akzent der starken + Vokalismus der schwachen Kasus,,the wife of the brother of the husband,Accent of the strong + vocalism of the weak cases.
1,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",arm.,ner,die Frauen von Brüdern oder desselben Mannes,"richtiger nēr, Gen. niri; zur Grundf. Vermutungen bei Hübschmann Arm. Gr. I 478; Bugge IF. 1, 445, 449, Meillet BSL. 30, CR. 90, zuletzt Cuny Recherches 66 f.",,the wives of brothers or the same man,"richtiger nēr, Gen. niri; for the basic conjectures, see Hübschmann Arm. Gr. I 478; Bugge IF. 1, 445, 449, Meillet BSL. 30, CR. 90, recently Cuny Recherches 66 f."
,,,,,,,,
3,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",phryg.,ιανατερα,die Frau des Bruders des Gatten,Akkusativ,,the wife of the brother of the husband,Accusative
4,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",gr.,ἐνάτηρ,die Frau des Bruders des Gatten,ion. Psilose,,the wife of the brother of the husband,ion. Psilosis [UNKNOWN]
5,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",hom.,"εἰνατέρες, -έρων",sister-in-law,εἰ- Ausdruck der metr. Dehnung für ἐν-,,sister-in-law,εἰ- Expression of metrical lengthening for ἐν-
6,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",gr.,ἐνατρί,die Frau des Bruders des Gatten,inschr. (kleinas.-gr.) ἐνατρί,,the wife of the brother of the husband,inscribed (small-Ancient Greek) ἐνατρί [UNKNOWN]
7,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",lat.,janitrīcēs,die Ehefrauen von Brüdern,Erweiterung von \*ianiter nach dem Fem. der Nomina agentis auf \-īc-; das \i stammt von \*ianiter,,the wives of brothers,Expansion of \*ianiter according to the feminine of the Nomina agentis on \-īc-; the \i stems from \*ianiter
8,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",alit.,"*jéntė, -ers",die Ehefrauen von Brüdern,"\gentė, \žentė durch Kreuzung mit gentìs 'Verwandter', \žéntas 'Schwiegersohn'",,the wives of brothers,"\gentė, \žentė through crossing with gentìs 'relative', \žéntas 'son-in-law'."
9,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",lett.,"ìetere, iẽtal'a",die Ehefrauen von Brüdern,,,the wives of brothers,
,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",kurisch,jentere,die Ehefrauen von Brüdern,,,the wives of brothers,
10,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",aksl.,*jętry,die Ehefrauen von Brüdern,Ausgang nach svekry,,the wives of brothers,Leaving to mother-in-law [UNKNOWN]
11,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",russ.-ksl.,jatry,die Ehefrauen von Brüdern,,,the wives of brothers,
12,"i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-",serb.,jêtrva,die Ehefrauen von Brüdern,,,the wives of brothers,
0,i̯et-,ai.,"yátati, -te","schließt an, fügt aneinander; strebt wonach",nach Pet. Wb.,,"connects, adds together; strives for what",according to Pet. Wb.
1,i̯et-,ai.,"yátati, -te","kommt gleich, ist ebenbürtig, eifert nach, wetteifert; ist eifersüchtig, beneidet, streitet; drängt sich vor, stürmt, sputet sich, eilt, marschiert","nach Geldner Ved. St. 3, 11 ff. (Zweifel bei Sommer Gr. Lautst. 157)",,"arrives simultaneously, is equal, emulates, competes; is jealous, envies, argues; pushes ahead, storms, hurries, rushes, marches.","according to Geldner Ved. St. 3, 11 ff. (doubts by Sommer Gr. Lautst. 157)"
2,i̯et-,ai.,yātáyati,"verbündet, vereinigt; zieht zur Verantwortung, belangt, ahndet",,,"allied, united; holds accountable, prosecutes, punishes.",
3,i̯et-,ai.,yáti,Asket ('*Streber'),,,Ascetic ('*Nerd'),
4,i̯et-,ai.,yatúna-,strebsam,,,diligent/hardworking,
5,i̯et-,ai.,yatná-,"Bestrebung, Bemühung, Anstrengung, Mühe",,,"Endeavor, effort, exertion, trouble",
6,i̯et-,av.,"yateiti, yatayeiti","setzt sich in Bewegung (Perf. im Gange sein), rührt sich, ist emsig, bemüht sich eifrig",,,"sets in motion (Perfect tense in progress), stirs, is diligent, strives eagerly",
7,i̯et-,av.,"frā-yateiti, -yatayeiti",kommt heran; geht jemanden um etwas an,,,come closer; approach someone about something,
8,i̯et-,av.,yātayeiti,"bringt zur Verwendung, betreibt, befaßt sich womit, befleißigt sich",,,"brings for use, operates, engages in, endeavors",
9,i̯et-,cymr.,add-iad,Sehnsucht,,,Longing,
10,i̯et-,gall.,Ad-ietu-mārus,PN,,,Private message,
11,i̯et-,gall.,Ad-iatunnus,PN,,,Private message,
12,i̯et-,gall.,Ad-ietuanus,PN,: ai. \yatú-na-,,Private message,ai. \yatú-na- [UNKNOWN]
,,,,,,,,
14,i̯et-,cymr.,add-iant,Sehnsucht,vgl. mit Nasalsuffix ai. \yat-ná-,,Longing,compare with nasal suffix ai. \yat-ná-
15,i̯et-,ir.,ēt,"Eifer, Eifersucht",,,"Zeal, jealousy",
16,i̯et-,nir.,éad,"Eifer, Eifersucht",,,"Zeal, jealousy",
17,i̯et-,gall.,"Iantu-māros, Ientu-māros",PN,\= ir. \ētmar `eifersüchtig',,Private message,\= ir. \ētmar `jealous'
18,i̯et-,ir.,ētmar,eifersüchtig,,,jealous,
19,i̯et-,air.,ītu,Durst,Akk. \ītith; vielleicht aus dehnstuf. \*i̯ētu-tut-s,,Thirst,Acc. \ītith; possibly derived from the ablaut grade \*i̯ētu-tut-s.
,,,,,,,,
21,i̯et-,nir.,íota,Durst,,,Thirst,
22,i̯et-,toch. A,yat,"erreichen, erlangen",vielleicht,,"achieve, obtain",maybe
23,i̯et-,toch. A,yatatär,"erreichen, erlangen",Präs. Med.,,"achieve, obtain",Präs. Med. [UNKNOWN]
24,i̯et-,toch. B,yototär,"to set out, strive for","Präs. Med., Schulze-Sieg Toch. Gr. 487, Van Windekens Lexique 167, Pedersen Toch. 221",,"to set out, strive for","Präs. Med., Schulze-Sieg Toch. Gr. 487, Van Windekens Lexique 167, Pedersen Toch. 221 [UNKNOWN]"
25,i̯et-,toch. AB,yāt,"fähig sein, befehlen",Van Windekens aaO.,,"to be capable, to command",Van Windekens in the aforementioned work.
0,i̯eug̑-,av.,yaozaiti,"regt sich auf (vom Wasser, von unruhigen Ländern)",,,"gets agitated (by water, by restless countries)",
1,i̯eug̑-,av.,yaōšti-,"Rührigkeit, Regsamkeit",,,"Activity, Proactiveness",
2,i̯eug̑-,arm.,yuzem,rege auf,ist iran. Lw.,,Get upset,is Iran. Lw. [UNKNOWN]
3,i̯eug̑-,got.,jiuka,"Zorn, Streit",,,"Anger, conflict",
4,i̯eug̑-,got.,jiukan,kämpfen,,,to fight,
5,i̯eug̑-,mhd.,jouchen,"treiben, jagen",,,"drive, hunt",
6,i̯eug̑-,mhd.,jöuchen,"treiben, jagen",,,"drive, hunt",
7,i̯eug̑-,ags.,gēocor,full of hardship,,,full of hardship,
8,i̯eug̑-,ags.,gēocre,streng,Adv.,,strict,Adv.
9,i̯eug̑-,toch. A,yok-,besiegen,,,to defeat,
10,i̯eug̑-,toch. A,yuk-,besiegen,,,to defeat,
,i̯eug̑-,toch. B,yuk-,besiegen,,,to defeat,
0,"i̯eu-ni-, or i̯ou-ni-",ai.,yṓni,Aufenthaltsort,m.,,place of residence,m.
1,"i̯eu-ni-, or i̯ou-ni-",ai.,yṓni,Mutterleib,f.,,Womb,f. [UNKNOWN]
2,"i̯eu-ni-, or i̯ou-ni-",av.,yaonəm,Weg,"wohl aus \yaonim, siehe Wackernagel KZ. 46, 266",,Path,"wohl aus \yaonim, siehe Wackernagel KZ. 46, 266 [UNKNOWN]"
3,"i̯eu-ni-, or i̯ou-ni-",ai.,syoná,behaglich,"aus \*su-yoná-, Wackernagel KZ. 61, 203f.",,cozy,"from *su-yoná-, Wackernagel KZ. 61, 203f."
4,"i̯eu-ni-, or i̯ou-ni-",air.,úain,"Gelegenheit (d. i. richtiger Platz = richtige Zeit), Muße, Zeit",,,"Opportunity (i.e. right place = right time), leisure, time",
0,i̯oi-ni-,lat.,iuncus,Binse,"\*i̯oini-ko-s\;  über lat. \iūniperus\ 'Wacholderstrauch' s. WH. I 731, 870 und Leumann Gl. 27, 74",,Reed grass,"*i̯oini-ko-s; via Latin iūniperus 'juniper bush' see WH. I 731, 870 and Leumann Gl. 27, 74"
1,i̯oi-ni-,mir.,aín,Binse,\*i̯oini\-; Gen. \aíne\,,Reed grass,\*i̯oini-; Gen. \aíne\ [UNKNOWN]
2,i̯oi-ni-,aisl.,einir,Wacholder,,,Juniper,
3,i̯oi-ni-,schwed.,en,Wacholder,,,Juniper,
