,web_root,root,abbr,reflex,meaning,notes
3,agh-(lo-),agh-(lo-),Got.,us-agljan,bedrängen,
4,agh-(lo-),agh-(lo-),ags.,eg(e)le,"widerwärtig, beschwerlich, bedauerlich",
5,agh-(lo-),agh-(lo-),ags.,eglan,Schmerz zufügen,engl. ail 'schmerzen; unpäßlich sein'
6,agh-(lo-),agh-(lo-),ags.,eglian,schmerzlich empfunden werden,
7,agh-(lo-),agh-(lo-),mnd.,egelen,Gram verursachen,
8,agh-(lo-),agh-(lo-),Got.,aglus,"disgusting, unpleasant","Adv. agluba 'δύσκολος, δυσκόλως, schwierig'"
9,agh-(lo-),agh-(lo-),Got.,aglaitei,"ἀσέλγεια, Unzucht",mit rätselhaftem Suffix
10,agh-(lo-),agh-(lo-),ahd.,agaleizi,Unbequemlichkeit; Eifer,
11,agh-(lo-),agh-(lo-),ahd.,agaleizo,"disgusting, unpleasant",
12,agh-(lo-),agh-(lo-),as.,"aglēto, agalēto","emsig, eifrig",
13,agh-(lo-),agh-(lo-),ai.,aghá,böse,"n. 'Übel, Schaden'"
14,agh-(lo-),agh-(lo-),ai.,aghalá-,schlimm,
15,agh-(lo-),agh-(lo-),mir.,ālad,Wunde,*agloton
16,agh-(lo-),agh-(lo-),mcymr.,aele(u),schmerzhaft,
17,agh-(lo-),agh-(lo-),mcymr.,aeleu m.,Schmerz,*aglou̯-
0,aghl(u)-,aghl(u)-,Gr.,ἀχλύ̄ς,"Nebel, Dunkel",
1,aghl(u)-,aghl(u)-,apr.,aglo,Regen,u-St.
2,aghl(u)-,aghl(u)-,arm.,alj,,"Meillet MSL. 10, 279"
3,aghl(u)-,aghl(u)-,arm.,ałjałj,Dunkel,"Meillet MSL. 10, 279"
4,aghl(u)-,aghl(u)-,arm.,ałjamułjkh,Dunkel,"Meillet MSL. 10, 279"
0,agro- (egro-?),"agro-, egro-?",Ai.,ágra-,Spitze,
1,agro- (egro-?),"agro-, egro-?",Ai.,agrē,"an der Spitze, auch zeitlich 'im Anfang zuerst'",
2,agro- (egro-?),"agro-, egro-?",Ai.,agrimá-,der erste,
3,agro- (egro-?),"agro-, egro-?",Ai.,aɣra-,"der erste, oberste nach Zeit Raum usw., Anfang; das oberste, Spitze",
4,agro- (egro-?),"agro-, egro-?",lett.,agrs,frühe,
5,agro- (egro-?),"agro-, egro-?",lett.,agri,"früh, frühzeitig",
6,agro- (egro-?),"agro-, egro-?",lett.,agrums,die Frühe,
7,agro- (egro-?),"agro-, egro-?",lat.,Agrippa,der mit den Füßen zuerst zur Welt kommt,"W. Schulze KZ. 32, 172^^1^^, zweifelnd Lat. Eig. 230^^5^^"
8,agro- (egro-?),"agro-, egro-?",ai.,ágra,"first, highest; apex, beginning","Falls ai. \\ágra\\- auf \\*ogro-\\ oder \\*egro-\\ zurückginge, könnte man hitt. \\ḫé-kur\\, \\ḫé-gur\\ 'Felsgipfel' vergleichen."
0,ai 1,1. ai,Ai.,ē,"Ausruf des Sichbesinnens, der Anrede, des Mitleids",
1,ai 1,1. ai,ai.,ai,dasselbe,
2,ai 1,1. ai,ai.,ayi,Interjektion beim Vokativ,
3,ai 1,1. ai,av.,āi,Interjektion des Anrufs vor dem Vokativ,
4,ai 1,1. ai,gr.,αἴ,"Ausruf der Verwunderung, des Staunens oder Schmerzes","davon αἰάζω 'seufze, beklage', αἴαγμα 'Seufzen'"
5,ai 1,1. ai,gr.,αι<S-0183c0>,"Ausruf der Verwunderung, des Staunens oder Schmerzes",
6,ai 1,1. ai,gr.,αἰαι<S-0183c0>,"Ausruf der Verwunderung, des Staunens oder Schmerzes",
7,ai 1,1. ai,lit.,aĩ,'ach! wehe!' und vor Vokativen,
8,ai 1,1. ai,lit.,ái,'ach! wehe!' und vor Vokativen,
0,ai-2,2. ai-,Präs.,(a)ineumi,"'auf etwas eindringen, bewältigen'",
1,ai-2,2. ai-,ai.,inóti,"'auf etwas eindringen, bewältigen'",
2,ai-2,2. ai-,ai.,ínvati,"'auf etwas eindringen, bewältigen'",
3,ai-2,2. ai-,ai.,inuhí,"'auf etwas eindringen, bewältigen'",
4,ai-2,2. ai-,ai.,-inita-,"'eingedrückt, eingeschnürt'",
5,ai-2,2. ai-,ai.,úpenita-,"'eingedrückt, eingeschnürt'",
6,ai-2,2. ai-,av.,inaoiti,"'vergewaltigen, kränken'",
7,ai-2,2. ai-,av.,aēnaŋhe,"'vergewaltigen, kränken'",
8,ai-2,2. ai-,av.,ainita,"'nicht vergewaltigt, nicht gekränkt'",aus *an-inita durch Haplologie
9,ai-2,2. ai-,ai.,énas-,"'Frevel, Sünde, Unglück'",möglicherweise verwandt mit av. aēnah-
10,ai-2,2. ai-,av.,aēnah-,"'Gewalttat, Frevel'",möglicherweise verwandt mit ai. énas-
11,ai-2,2. ai-,av.,aēnah-,'Übeltäter',möglicherweise verwandt mit ai. énas-
12,ai-2,2. ai-,av.,intay-,"'Vergewaltigung, Kränkung; Qual'",
13,ai-2,2. ai-,ai.,iná-,'stark; m. Gebieter',
14,ai-2,2. ai-,ai.,īti-ḥ,"'Plage, Not'",möglicherweise
15,ai-2,2. ai-,gr.,αἰνός,'schrecklich',
16,ai-2,2. ai-,got.,faír-ina,"'Schuld, Vorwurf'",möglicherweise hierher -in-
17,ai-2,2. ai-,ahd.,firinōn,'sündigen',"möglicherweise hierher -in-, falls ursprüngliche Bedeutung 'Gewalttat'"
18,ai-2,2. ai-,aisl.,firn,'Außerordentliches',"möglicherweise hierher -in-, falls ursprüngliche Bedeutung 'Gewalttat', vgl. Weisweiler IF. 41, 29 f."
0,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,Av.,āzi-š,Begierde,
1,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,np.,az,Begierde,
2,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,Av.,āza-š,"Streben, Eifer",
3,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,Av.,izyati,"strebt, verlangt nach",
4,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,Av.,ī̆žā,"Streben, Eifer, Erfolg",
5,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,ai.,īhā,Verlangen,
6,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,ai.,īhatē,strebt wonach,
7,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,gr.,ἀ̄χήν,dürftig,"= ἠχῆνες · κενοί, πτωχοί Hes. (durch Anlehnung an Worte, mit ἀ-privativum daraus ἀεχῆνες · πένητες Hes., und ἀχενία 'Mangel, Armut')"
8,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,gr.,κτεανηχής,πένης Hes.,
9,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,gr.,ἰχανάω,begehre,
10,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,gr.,ι<S-0183c0>χαρ,Begierde,
11,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,toch. A,ākāl,"Wunsch, Sehnsucht",Anders Pedersen Toch. 42.
12,ā(i)ĝh- : īĝh-,ā(i)g̑h- : īg̑h-,toch. B,akālk,"Wunsch, Sehnsucht",Anders Pedersen Toch. 42.
0,ai-rā,ai-rā,Ai.,ērakā,eine Grasart,
1,ai-rā,ai-rā,gr.,αι<S-0183c0>ρα,"Unkraut im Weizen, Lolch","(αἰρικός, αἴρινος 'von Lolch')"
2,ai-rā,ai-rā,lett.,aĩres,Lolch,
3,ai-rā,ai-rā,lett.,aĩrenes,Lolch,
0,ai-tro-,ai-tro-,Lit.,aitrùs,"bitter, herb",
1,ai-tro-,ai-tro-,Lit.,aitrà,Schärfe,auch übertragen
2,ai-tro-,ai-tro-,Lit.,*intro-,"sharp, bitter",
3,ai-tro-,ai-tro-,abg.,ob-ętriti,entbrennen lassen,
4,ai-tro-,ai-tro-,abg.,sę,"brennen, hitzig sein",
5,ai-tro-,ai-tro-,wru.,zajátřič,erzürnen,
6,ai-tro-,ai-tro-,klr.,roz-jatrýti ša,eitern,
0,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,aśnāti,"ißt, verzehrt","infigiert, Inf. aśi-tum usw."
1,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,áśanam,das Essen; Speise,
2,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,áśna-ḥ,gefräßig,
3,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,āśayati,läßt speisen,dehnstufig
4,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,prātar-āśa-ḥ,Frühstück,
5,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",Ai.,kahrk-āsa,Hähnefresser = Geier,
6,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",gr.,ἄκυλος,Eichel,"als 'Nahrung', vgl. formal ai. aśú-ṣa-ḥ 'gefräßig'"
7,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",gr.,ἄκολος,Bissen,
8,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",an.,agn,Lockspeise für Fische,*ak̂ə-nó-
9,"ak̂-1, ak̂ō-","1. ak̑-, ak̑ō-",an.,ǣja,weiden lassen,*ahjan
0,akkā,akkā,Ai.,akkā,Mutter,(Gramm.)
1,akkā,akkā,gr.,̓Ακκώ,Amme der Demeter,
2,akkā,akkā,gr.,ἀκκώ,Popanz,
3,akkā,akkā,gr.,ἀκκίζεσθαι,"sich zieren, sich dumm stellen",
4,akkā,akkā,lat.,Acca Lārentia,"Larenmutter, römische Flurgöttin",(wohl etruskisch)
5,akkā,akkā,,,auch in kleinasiatischen Sprachen,
6,akkā,akkā,lapp.,Madder-akka,Erdenmutter,
0,ak̂ru,ak̑ru,Ved.,áśru,Träne,
1,ak̂ru,ak̑ru,Ved.,áśram,Träne,später
2,ak̂ru,ak̑ru,av.,asrū-,Träne,
3,ak̂ru,ak̑ru,lit.,ašarà,Träne,
4,ak̂ru,ak̑ru,lit.,ãšara,Träne,
5,ak̂ru,ak̑ru,toch. А,ākär,ds.,
6,ak̂ru,ak̑ru,toch. А,ākrunt,ds.,Pl.
7,ak̂ru,ak̑ru,ai.,aśrāyāmi,weine,vgl.
8,ak̂ru,ak̑ru,lit.,ãšaroju,weine,vgl.
9,ak̂ru,ak̑ru,Ved.,*dak̂ru,Träne,"idg. Das Verhaltnis zu ist ungeklärt. Vgl. Meillet BSL. 32, 141."
0,akʷ-,aku̯-,Ai.,áka-m,"Leid, Schmerz",
1,akʷ-,aku̯-,Ai.,akō,"böse, schlecht",
2,akʷ-,aku̯-,Ai.,axtis̀,"Leid, Schmerz, Krankheit",
3,akʷ-,aku̯-,gr.,"*ἄπαρ, *ἀπνός","davon ἠπανεῖ · ἀπορεῖ, ἠπανία · ἀπορία, ἠπεροπεύς",Betrüger
4,akʷ-,aku̯-,gr.,ἀπ-,Betrug,*apn̥tā
5,akʷ-,aku̯-,gr.,ἰάπτω,schädigen,
0,al-4,4. al-,Ai.,alātam,"'Feuerbrand, Kohle'",
1,al-4,4. al-,Ai.,úlmukam,'Brand',
2,al-4,4. al-,Lat.,adoleō,'verbrenne (bes. Opfer)',
3,al-4,4. al-,Lat.,"adolēscō, -ere",'auflodern (von Altären)',"('o' aus 'a', wie im etymologischverschiedenen 'adolēscere' 'heranwachsen' zu 'alō', s. unter *__al-2__ 'wachsen')"
4,al-4,4. al-,Lat.,altāre,'Brandaltar',(mit schwierigem 'o'-Ablaut umbr. 'uṙetu' 'ad adolendum')
5,al-4,4. al-,Nschwed.,ala,"'lodern, flammen'","(Johannsson ZfdtPh. 31, 285 ff. m. Lit.)"
6,al-4,4. al-,Gr.,ἀλάβη · ἄνθρακες,to burn,"(Auffassung auch von lat. 'alacer', got. 'aljan' n. 'Eifer' usw. als 'feurig, hitzig' (Johansson aaO.) wäre möglich)"
7,al-4,4. al-,Ags.,ǣlan,'brennen',(s.*__aidh-__)
8,al-4,4. al-,Gall.,Alatus,to burn,(Vielleicht gehört hierher)
9,al-4,4. al-,Mir.,alad,"'bunt, scheckig, gestreift'",(wenn ursprüngl. 'gebrannt') = nir. 'aladh' 'Forelle' ('alā̆to-')
10,al-4,4. al-,Nir.,aladh,'Forelle',
0,albhi-,albhi-,Gr.,ἄλφι,Gerstengraupen,
1,albhi-,albhi-,Gr.,ἄλφιτον,Gerstenmehl,
2,albhi-,albhi-,Gr.,ἀλίφατα,"Gerstengraupen, Gerstenmehl","Hes. (mit Entfaltungsvokal ι; s. Ehrlich KZ. 38, 55, der in ἄλφι : ἄλφατα - woraus durch Kreuzung mit ἄλφι dann ἄλφιτ-α, -ον - ein Verhaltnis wie zwischen ai. ásth-i : asth-n-áḥ sieht, was das uridg. Alter des Wortes verbürgen würde)"
3,albhi-,albhi-,Gr.,ἄλφιτα ἤ ἄλευρα,"Gerstengraupen, Gerstenmehl",
4,albhi-,albhi-,alb.,elp,Gerste,
5,albhi-,albhi-,alb.,elbi,Gerste,N. Pl. *albhī-
6,albhi-,albhi-,turko-tatar.,arba,Gerste,
7,albhi-,albhi-,,*albh,barley,Beziehung zu *albh- 'weiß' nimmt Specht Dekl. 68 an.
0,aldh-,aldh-,Altn.,alda,"Welle, Feindschaft",
1,aldh-,aldh-,norw. dial.,olda,Trog,
2,aldh-,aldh-,schwed. dial.,ålla,längliche Vertiefung,
3,aldh-,aldh-,ags.,ealdoþ,"Trog, Bottich",
4,aldh-,aldh-,ags.,aldot,"Trog, Bottich",
5,aldh-,aldh-,ags.,aldaht,"Trog, Bottich",
6,aldh-,aldh-,nhd. bair.,alden,Ackerfurche,
7,aldh-,aldh-,baltoslav.,*aldii̯ā,Kahn,
8,aldh-,aldh-,ksl.,ladĳi,Kahn,
9,aldh-,aldh-,ksl.,alъdĳi,Kahn,
10,aldh-,aldh-,lit.,aldĳà,Flußkahn,
11,aldh-,aldh-,lit.,eldĳà,Flußkahn,
12,aldh-,aldh-,lit.,eldĳė̃lė,Räucherpfanne,
13,aldh-,aldh-,Norw.,lodje,russisches Fahrzeug,
14,aldh-,aldh-,schwed.,lodja,russisches Fahrzeug,
15,aldh-,aldh-,mnd.,lod(d)ie,russisches Fahrzeug,
16,aldh-,aldh-,mnd.,loddige,russisches Fahrzeug,
17,aldh-,aldh-,russ.,łodьjá,russisches Fahrzeug,entlehnt
18,aldh-,aldh-,asl.,ladĳi,russisches Fahrzeug,entlehnt
19,aldh-,aldh-,note,,,Falk-Torp 652 (s. auch 789 unter'olde').
0,alp-,alp-,Ai.,"alpa-, alpaka-","klein, gering","alpēna, alpāt 'leicht, schnell'; schwer in der Bedeutung zu vereinen"
1,alp-,alp-,Ai.,alpēna,"leicht, schnell",
2,alp-,alp-,Ai.,alpāt,"leicht, schnell",
3,alp-,alp-,lit.,"alpstù, alpaũ, al̃pti",ohnmächtig werden,
4,alp-,alp-,lit.,alpùs,schwach,
5,alp-,alp-,lett.,el̃pe,"Luftschöpfen, Atemzug",
6,alp-,alp-,lett.,alpà,"Mal, Zeitpunkt",
7,alp-,alp-,hom.,ἀλαπαδνός,schwach,bei Aeschylos λαπαδνός
8,alp-,alp-,hom.,ἀλαπάζω,"leere aus, erschöpfe",
9,alp-,alp-,att.,λαπάζω,plündere,
10,alp-,alp-,att.,λαπάττω,leere (den Leib)aus,ist bedenklich wegen ihrer zweisilbigen Wzf. gegenüber der leichten der ai. und lit. Worte
11,alp-,alp-,att.,λαπαρός,"schmächtig, dünn, offenen Leib habend",
12,alp-,alp-,att.,λαπάρα,"Flanke, Dünnung des Leibes an der Hüfte",
13,alp-,alp-,att.,λάπαθος,"Aushöhlung, Grube","in der Bedeutungsfärbung ('ausleeren, eingefallen') doch erheblich ab"
14,alp-,alp-,att.,λάπαθος,Sauerampfer,"als 'βοτάνη κενωτική' in der Bedeutungsfärbung ('ausleeren, eingefallen') doch erheblich ab"
15,alp-,alp-,alb.,laps,"bin müde, überdrüssig","Jokl SBAk. Wien 168, I 48"
16,alp-,alp-,hett.,al-pa-an-da-,"krank, schwach",
17,alp-,alp-,hett.,alpant-,"krank, schwach",
0,"ālu-, ālo-","ālu-, ālo-",Ai.,"ālú-ḥ, ālukám-","bulbus, radix globosa esculenta",
1,"ālu-, ālo-","ālu-, ālo-",lat.,"ālum, ālium",Knoblauch,
2,"ālu-, ālo-","ālu-, ālo-",osk.,allō,wohl als Grundlage von gr. ἀλλᾆς 'Wurst',aus *ali̯ā
3,"ālu-, ālo-","ālu-, ālo-",lat.,ālum oder ālus,"Symphytum officinale L., Beinwell, Wallwurz",eine um ihrer Wurzel willengeschätzte Pflanze (vielleicht gall. Wort? s. Thesaurus)
0,"andher-, n̥dher-","andher-, ṇdher-",gr,ἀθήρ,"Hachel an der Ähre, Lanzenspitze",
1,"andher-, n̥dher-","andher-, ṇdher-",gr,ἀνθέριξ,"Halmspitze, Halm",
2,"andher-, n̥dher-","andher-, ṇdher-",gr,ἀνθέρικος,"Halm, Stengel",
3,"andher-, n̥dher-","andher-, ṇdher-",gr,ἀνθερεών,"Kinn als 'bärtige, struppige Stelle'",
4,"andher-, n̥dher-","andher-, ṇdher-",gr,ἀνθρίσκος,"'der gemeine Kerbel', benannt nach seinen stachligen Früchten",
5,"andher-, n̥dher-","andher-, ṇdher-",gr,"ἀνθρήνη, ἀνθρηδών","Wespe, Waldbiene","Wortausgang nach τενθρήνη 'Hornis', τανθρηδών 'Wespe'"
6,"andher-, n̥dher-","andher-, ṇdher-",gr,ἄνθρωπος,"mit bärtigem Gesicht = Mann', dann 'Mensch","Güntert Heidelberg. SB. 1915, Abh. X?; vgl.auch Schwyzer Gr. Gr. I 426^^4^^. Nach Kretschmer Gl. 28, 246 aus *ανδρ-ὡπός, der Spiritus asper von ὁράω usw. übertragen?"
7,"andher-, n̥dher-","andher-, ṇdher-",gr,"ἀθάρη, ἀθήρᾱ","Weizenmehlbrei, Speltgraupen","(von Plin. n. h. 22, 121 allerdings als ägypt. Wort bezeichnet)?"
0,anĝhen-,ang̑hen-,Arm.,anjn,"Seele, Wesen, Person",
1,anĝhen-,ang̑hen-,Arm.,anjin,"Seele, Wesen, Person",
2,anĝhen-,ang̑hen-,anord.,angi,"Duft, Geruch",
0,"ap-3, āp-","3. ap-, āp-",Ai.,apvā́,"Krankheit, Durchfall",
1,"ap-3, āp-","3. ap-, āp-",av.,afša-,"Schaden, Unheil",(von einem -es-St.)
2,"ap-3, āp-","3. ap-, āp-",lit.,opū́s,"schwach, wund, gebrechlich","(Charpentier KZ. 40, 442 f.)"
3,"ap-3, āp-","3. ap-, āp-",gr.,ἠπεδανός,"gebrechlich, schwach","(Bezzenberger BB. 1, 164; zum Ausgang s. Risch 98; anders Schwyzer Gr. Gr. I 530)"
0,appa,appa,gr,ἄππα,Papa,
1,appa,appa,gr,ἀπφά,Papa,
2,appa,appa,gr,ἄπφα,Papa,
3,appa,appa,gr,ἀπφῦς,Papa,Theokrit
4,appa,appa,toch,appakke,Vater,das -(a)kke von ammakki 'Mutter'
0,ar-3,3. ar-,G. Meyer Alb. Wb. 17,ἄρυα · τὰ ̔Hρακλεωτικὰ κάρvα,,"Vereinigt mit alb. arrë f. 'Nußbaum', aksl. orěchъ 'Nuß'"
1,ar-3,3. ar-,alb.,arrë,'Nußbaum',
2,ar-3,3. ar-,aksl.,orěchъ,'Nuß',
3,ar-3,3. ar-,lit.,"ríešutas, ruošutỹs",'Haselnuß',
4,ar-3,3. ar-,lett.,rieksts,"'Nuß, Haselnuß'",
5,ar-3,3. ar-,apr.,buccareisis,"'Buchecker', s. Trautmann Apr. 314 nimmt Specht Dekl. 62 an",
0,ar-5,5. ar-,Gr.,ἀρνέομαι (*ἀρνε-F-ομαι),'verweigere',
1,ar-5,5. ar-,Gr.,"ἄπαρνος, ἔξαρνος","'verweigernd, leugnend'",
2,ar-5,5. ar-,Gr.,ἀρύει · ἀντιλέγει βοᾷ Hes.,"to deny, refuse, renounce",
3,ar-5,5. ar-,alb.,rrêm,'falsch',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)"
4,ar-5,5. ar-,alb.,"rrêmë, rrênë",'Lüge',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)"
5,ar-5,5. ar-,alb.,nërrój (aus *rrënój),'leugne',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)"
6,ar-5,5. ar-,arm.,uranam,"'leugne, verweigere'","Noch fraglicher ist, ob arm. uranam 'leugne, verweigere', urast 'das Leugnen' verwandt sei (mit ur- aus ōr-)"
7,ar-5,5. ar-,arm.,urast,'das Leugnen',"Noch fraglicher ist, ob arm. uranam 'leugne, verweigere', urast 'das Leugnen' verwandt sei (mit ur- aus ōr-)"
0,ardh-,ardh-,Arm.,ardn,"Lanze, Speer",
1,ardh-,ardh-,lit.,ar̃das,Stangengerüst zum Flachstrocknen,
2,ardh-,ardh-,alt.,ardamas,die in der Diagonale des Segels stehende Spreizstange,"zur Bed. Bezzenberger GGA. 1885, 920, Petersson KZ. 47, 245 (die lit. Wörter nicht besser nach Leskien Abl. 329 zu ardyti spalten, trennen', s. unten __er__ 'locker')."
0,"ardi-, r̥di-","ardi-, r̥di-",Ai.,ali,"Biene, Skorpion","aus *aḍi, idg. *r̥di = gr. ἄρδις 'Pfeilspitze, Stachel'"
1,"ardi-, r̥di-","ardi-, r̥di-",air.,aird,"Punkt, Spitze, Himmelsrichtung",*ardi
2,"ardi-, r̥di-","ardi-, r̥di-",anord.,erta,"aufstacheln, anreizen, necken","*artjan, eine andere Deutung von erta unter er-, er-d- 'in Bewegung setzen'"
0,areg-,areg-,Ai.,"argala-ḥ, argalā",Riegel,
1,areg-,areg-,Ai.,argalā,Riegel,
2,areg-,areg-,maked.,ἄργελλα,Badehütte,
3,areg-,areg-,alb.,ragál,Hütte,
4,areg-,areg-,kimmer.,ἄργιλλα,unterirdische Wohnung,*arg-el-i̯ā 'unterirdische Wohnung'
5,areg-,areg-,as.,racud,"Gebäude, Haus",
6,areg-,areg-,ags.,reced,"Gebäude, Haus",
0,"arōd-, arəd-","arōd-, arəd-",Gr.,ῥωδιός,Reiher,
1,"arōd-, arəd-","arōd-, arəd-",Gr.,ἐρωδιός,Reiher,ἐρῳδιός volksetym. im Ausgang nach -ίδιος
2,"arōd-, arəd-","arōd-, arəd-",lat.,ardea,ds.,*arəd-
3,"arōd-, arəd-","arōd-, arəd-",anord.,arta,Kriekente,
4,"arōd-, arəd-","arōd-, arəd-",aschwed.,ärta,Kriekente,
5,"arōd-, arəd-","arōd-, arəd-",anord.,ertla,(type of waterbird),Demin.
6,"arōd-, arəd-","arōd-, arəd-",norw.,erle,Bachstelze,
7,"arōd-, arəd-","arōd-, arəd-",serb.,róda,Storch,*rədā́
0,aro-m,aro-m,Gr.,ἄρον n.,"Natterwurz, Art Schilfrohr",
1,aro-m,aro-m,Gr.,ἀρί-σαρον,eine kleine Art davon,
2,aro-m,aro-m,lat.,harundō,Rohr,zur Bildung vgl. hirundō und nebrundines : νεφροί
3,aro-m,aro-m,lat.,arista,"Hachel, Granne an der Ähre","Das von Persson De orig. gerundii 59 angereihte lat. arista 'Hachel, Granne an der Ähre', aristis 'holcus' unterliegt wegen seines zu genista u. dgl. stimmenden Suffixes stark dem Verdachte, etruskisch zu sein (s. Herbig IF. 37, 171, 178)"
4,aro-m,aro-m,lat.,aristis,holcus,"Das von Persson De orig. gerundii 59 angereihte lat. arista 'Hachel, Granne an der Ähre', aristis 'holcus' unterliegt wegen seines zu genista u. dgl. stimmenden Suffixes stark dem Verdachte, etruskisch zu sein (s. Herbig IF. 37, 171, 178)"
5,aro-m,aro-m,,,reed?,Aus einer Mittelmeersprache?
0,aru̯ā,aru̯ā,Gr.,ὀρύᾱ f.,Darm,
1,aru̯ā,aru̯ā,lat.,arvīna f.,"Schmer, Fett, Speck",ursprüngl. 'Darmfett'? (vgl. ahd. mitta-garni 'das in der Mitte der Gedärme liegende Fett')
2,aru̯ā,aru̯ā,Gr.,ἀρβίννη,κρέας. Σικελοί,Hes. ist lat. Lw.
0,"*ati-, ateli-, -o-","*ati-, ateli-",Gr.,ἐτελίς,'Goldbrassen' (kann aus *ἀτελίς assimiliert sein),
